Region,Casos  nuevos,Casos  totales,%  Casos  totales**,Fallecidos
Arica  y  Parinacota,5,120,1.52  %,1
Tarapaca,10,62,0.78  %,0
Antofagasta,6,155,1.96  %,1
Atacama,0,13,0.16  %,0
Coquimbo,0,66,0.83  %,0
Valparaiso,12,285,3.60  %,2
Metropolitana,283,4086,51.61  %,40
O'Higgins,5,53,0.67  %,0
Maule,1,142,1.79  %,4
Nuble,4,622,7.86  %,8
Biobio,16,528,6.67  %,2
Araucania,21,816,10.31  %,20
Los  Rios,10,148,1.87  %,3
Los  Lagos,5,385,4.86  %,5
Aysen,0,7,0.09  %,0
Magallanes,14,429,5.42  %,6
Total,392,7917,100%,92
