Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Fallecidos totales,% Total
Arica y Parinacota,930,16,16,0,10,0.63%
Tarapacá,3591,100,79,21,46,2.42%
Antofagasta,3559,157,143,14,56,2.40%
Atacama,365,17,14,3,0,0.25%
Coquimbo,1256,81,78,3,6,0.85%
Valparaíso,5614,223,198,25,99,3.78%
Metropolitana,119746,4620,4235,385,2115,80.64%
O'Higgins,1442,125,117,8,26,0.97%
Maule,2440,151,123,28,18,1.64%
Ñuble,1616,32,24,8,20,1.09%
Biobío,2846,152,138,14,11,1.92%
Araucania,2488,43,42,1,33,1.68%
Los Ríos,452,6,6,0,8,0.30%
Los Lagos,1041,13,12,1,12,0.70%
Aysén,21,0,0,0,0,0.01%
Magallanes,1089,1,1,0,15,0.73%
Total,148496,5737,5226,511,2475,100%
