Region,Casos  nuevos,Casos  totales,%  Casos  totales**,Fallecidos
Arica  y  Parinacota,13,265,1.92  %,3
Tarapaca,8,164,1.19  %,1
Antofagasta,14,457,3.31  %,4
Atacama,6,35,0.25  %,0
Coquimbo,1,74,0.54  %,0
Valparaiso,25,485,3.51  %,9
Metropolitana,362,7858,56.89  %,95
O'Higgins,2,94,0.68  %,1
Maule,9,363,2.63  %,12
Nuble,10,741,5.36  %,14
Biobio,3,706,5.11  %,6
Araucania,20,1236,8.95  %,32
Los  Rios,2,180,1.30  %,3
Los  Lagos,4,477,3.45  %,8
Aysen,0,7,0.05  %,0
Magallanes,3,671,4.86  %,10
Total,482,13813,100%,198
