Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Fallecidos totales,% Total
Arica y Parinacota,914,40,39,1,8,0.64%
Tarapacá,3491,99,89,10,35,2.45%
Antofagasta,3402,157,134,23,45,2.38%
Atacama,348,9,7,2,0,0.24%
Coquimbo,1175,52,43,9,5,0.82%
Valparaíso,5391,242,223,19,85,3.78%
Metropolitana,115126,2990,2789,201,1968,80.64%
O'Higgins,1317,62,57,5,23,0.92%
Maule,2289,113,92,21,18,1.60%
Ñuble,1584,32,22,10,18,1.11%
Biobío,2694,43,37,6,11,1.89%
Araucania,2445,35,28,7,32,1.71%
Los Ríos,446,21,18,3,8,0.31%
Los Lagos,1028,18,9,9,12,0.72%
Aysén,21,0,0,0,0,0.01%
Magallanes,1088,0,0,0,15,0.76%
Total,142759,3913,3587,326,2283,100%
