Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos sin notificar,Fallecidos totales,% Total
Arica y Parinacota,1325,30,29,1,0,12,0.56%
Tarapacá,5143,148,124,19,5,79,2.17%
Antofagasta,6215,387,322,45,20,94,2.63%
Atacama,650,27,22,4,1,1,0.27%
Coquimbo,2273,78,62,11,5,16,0.96%
Valparaíso,9014,256,226,21,9,158,3.81%
Metropolitana,191577,3603,3074,225,304,3715,80.92%
O'Higgins,3613,302,263,28,11,50,1.53%
Maule,3958,151,134,12,5,32,1.67%
Ñuble,2135,32,23,8,1,27,0.90%
Biobío,4658,257,222,25,10,32,1.97%
Araucania,2920,23,14,8,1,39,1.23%
Los Ríos,589,10,8,2,0,10,0.25%
Los Lagos,1335,37,33,3,1,15,0.56%
Aysén,28,1,1,0,0,0,0.01%
Magallanes,1315,13,7,6,0,15,0.56%
Total,236748,5355,4564,418,373,4295,100%
