Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos sin notificar,Fallecidos totales,Casos activos confirmados
Arica y Parinacota,1549,37,37,0,0,19,351
Tarapacá,5712,135,111,19,5,85,839
Antofagasta,7742,227,197,24,6,128,1658
Atacama,887,50,43,7,0,2,298
Coquimbo,2705,69,43,6,20,23,660
Valparaíso,10797,315,269,13,33,204,2152
Metropolitana,208862,2616,2058,217,341,4342,22427
O'Higgins,5136,268,209,28,31,65,1994
Maule,5013,181,154,22,5,39,1336
Ñuble,2274,41,33,7,1,31,375
Biobío,5958,256,189,50,17,45,1963
Araucania,3105,41,37,4,0,40,259
Los Ríos,652,11,6,5,0,10,95
Los Lagos,1541,36,31,3,2,20,279
Aysén,30,1,0,1,0,0,3
Magallanes,1397,12,5,7,0,15,172
Total,263360,4296,3422,413,461,5068,34861
