Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,318,3,3,0,5,1.38%
Tarapaca,339,17,13,4,1,1.47%
Antofagasta,855,44,28,16,7,3.71%
Atacama,80,2,0,2,0,0.35%
Coquimbo,97,0,0,0,0,0.42%
Valparaiso,716,29,24,5,16,3.11%
Metropolitana,15582,875,784,91,150,67.61%
O'Higgins,145,9,8,1,3,0.63%
Maule,408,0,0,0,13,1.77%
Nuble,791,2,1,1,17,3.43%
Biobio,789,15,12,3,8,3.42%
Araucania,1362,10,0,10,36,5.91%
Los  Rios,200,1,1,0,4,0.87%
Los  Lagos,541,16,11,5,10,2.35%
Aysen,7,0,0,0,0,0.03%
Magallanes,818,9,8,1,11,3.55%
Total,23048,1032,893,139,281,100%
