Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos sin notificar,Fallecidos totales,Casos activos confirmados
Arica y Parinacota,1611,63,61,2,0,20,381
Tarapacá,5771,59,43,15,1,88,793
Antofagasta,8027,285,249,20,16,142,1633
Atacama,925,38,25,13,0,2,294
Coquimbo,2781,75,64,4,7,23,664
Valparaíso,11054,257,211,20,26,217,2140
Metropolitana,211819,2957,2295,239,423,4584,21983
O'Higgins,5322,186,152,22,12,68,1997
Maule,5182,169,142,25,2,41,1370
Ñuble,2317,43,29,12,2,31,380
Biobío,6139,181,150,23,8,46,1953
Araucania,3128,23,17,6,0,40,244
Los Ríos,659,7,7,0,0,10,84
Los Lagos,1573,32,23,7,2,20,284
Aysén,35,5,4,1,0,0,9
Magallanes,1423,26,9,17,0,15,155
Total,267766,4406,3481,426,499,5347,34364
