Region,Casos  totales  acumulados,Casos  nuevos  totales,Casos  nuevos  con  sintomas,Casos  nuevos  sin  sintomas*,Fallecidos,%  Total
Arica  y  Parinacota,582,20,17,3,7,0.64%
Tarapaca,2093,136,130,6,14,2.31%
Antofagasta,2318,70,57,13,28,2.56%
Atacama,207,5,3,2,0,0.23%
Coquimbo,537,55,52,3,2,0.59%
Valparaiso,2842,112,91,21,61,3.14%
Metropolitana,72910,2995,2746,249,685,80.44%
O'Higgins,745,40,35,5,14,0.82%
Maule,1180,60,55,5,15,1.30%
Nuble,1242,37,34,3,22,1.37%
Biobio,1778,101,91,10,11,1.96%
Araucania,1989,35,24,11,47,2.19%
Los  Rios,330,12,6,6,6,0.36%
Los  Lagos,822,8,6,2,13,0.91%
Aysen,16,2,2,0,0,0.02%
Magallanes,1047,7,6,1,19,1.16%
Total,90638,3695,3355,340,944,100%
