Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Fallecidos totales,% Total
Arica y Parinacota,1062,51,37,14,10,0.63%
Tarapacá,4004,181,152,29,52,2.39%
Antofagasta,4038,153,141,12,67,2.41%
Atacama,436,23,16,7,0,0.26%
Coquimbo,1512,74,66,8,8,0.90%
Valparaíso,6527,356,332,24,120,3.90%
Metropolitana,134751,5057,4708,349,2681,80.52%
O'Higgins,1788,159,149,10,32,1.07%
Maule,2844,153,118,35,20,1.70%
Ñuble,1737,19,17,2,22,1.04%
Biobío,3269,166,149,17,16,1.95%
Araucania,2645,66,51,15,36,1.58%
Los Ríos,487,8,5,3,9,0.29%
Los Lagos,1108,25,19,6,13,0.66%
Aysén,24,2,2,0,0,0.01%
Magallanes,1123,16,7,9,15,0.67%
Total,167355,6509,5969,540,3101,100%
