Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Fallecidos totales,% Total
Arica y Parinacota,819,37,33,4,9,0.64%
Tarapacá,3094,129,104,25,30,2.42%
Antofagasta,3033,109,105,4,47,2.37%
Atacama,281,12,11,1,0,0.22%
Coquimbo,898,66,53,13,5,0.70%
Valparaíso,4580,314,295,19,91,3.59%
Metropolitana,103194,4128,3945,183,1184,80.78%
O'Higgins,1111,95,85,10,25,0.87%
Maule,1969,135,87,48,24,1.54%
Ñuble,1470,41,34,7,24,1.15%
Biobío,2490,111,83,28,13,1.95%
Araucania,2321,33,26,7,49,1.82%
Los Ríos,400,10,3,7,8,0.31%
Los Lagos,985,17,15,2,13,0.77%
Aysén,19,0,0,0,0,0.01%
Magallanes,1081,9,9,0,19,0.85%
Total,127745,5246,4888,358,1541,100%
