Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos sin notificar,Casos activos confirmados,Fallecidos totales,Casos confirmados recuperados,Casos probables acumulados ,Casos activos probables 
Arica y Parinacota,2638,76,71,5,0,646,28,1965,126,60
Tarapacá,7217,26,21,2,3,748,111,6400,211,52
Antofagasta,12224,190,157,20,13,1749,228,10157,582,143
Atacama,1674,41,28,13,0,447,9,1208,42,30
Coquimbo,4179,13,9,1,3,718,33,3441,522,127
Valparaíso,14903,169,147,11,11,1777,331,12635,4696,933
Metropolitana,240655,864,656,116,92,11882,5898,222906,28627,3182
O'Higgins,8639,152,105,34,13,1546,123,7061,1647,462
Maule,7241,85,71,13,1,1043,94,6083,632,199
Ñuble,3013,24,23,1,0,458,40,2503,683,194
Biobío,8680,91,73,11,7,1304,75,7327,1157,282
Araucania,3615,11,10,1,0,216,48,3338,55,20
Los Ríos,777,8,5,3,0,50,11,717,17,11
Los Lagos,2402,71,56,10,5,508,23,1909,208,102
Aysén,58,0,0,0,0,12,0,46,0,0
Magallanes,1578,15,12,3,0,101,17,1458,14,3
Se desconoce región de origen,0,0,0,0,0,0,0,66,0,0
Total,319493,1836,1444,244,148,23205,7069,289220,39219,5800
