Region,Serie,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-15,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-01,2020-08-08,2020-08-14
Arica y Parinacota,Camas UCI habilitadas,21.0,21.0,21.0,21.0,21.0,21.0,21.0,27.0,27.0,27.0,27.0,27.0,30.0,36.0,40.0,33.0,33.0,33.0
Tarapacá,Camas UCI habilitadas,15.0,11.0,12.0,14.0,23.0,29.0,34.0,44.0,50.0,49.0,42.0,42.0,43.0,41.0,42.0,42.0,37.0,37.0
Antofagasta,Camas UCI habilitadas,68.0,75.0,75.0,77.0,104.0,110.0,119.0,129.0,139.0,146.0,144.0,148.0,152.0,151.0,151.0,143.0,139.0,141.0
Atacama,Camas UCI habilitadas,11.0,11.0,12.0,23.0,24.0,21.0,21.0,22.0,24.0,24.0,29.0,21.0,24.0,24.0,24.0,26.0,26.0,26.0
Coquimbo,Camas UCI habilitadas,50.0,49.0,49.0,51.0,47.0,56.0,56.0,57.0,57.0,59.0,62.0,76.0,78.0,73.0,81.0,81.0,81.0,85.0
Valparaíso,Camas UCI habilitadas,158.0,156.0,151.0,151.0,152.0,163.0,181.0,196.0,207.0,211.0,216.0,236.0,245.0,250.0,249.0,238.0,230.0,225.0
Metropolitana,Camas UCI habilitadas,816.0,888.0,1004.0,993.0,1261.0,1392.0,1587.0,1742.0,1903.0,1861.0,1885.0,1928.0,1898.0,1845.0,1765.0,1703.0,1611.0,1482.0
O’Higgins,Camas UCI habilitadas,61.0,56.0,65.0,64.0,67.0,81.0,90.0,95.0,104.0,121.0,125.0,133.0,135.0,142.0,142.0,142.0,133.0,117.0
Maule,Camas UCI habilitadas,50.0,50.0,58.0,58.0,58.0,59.0,63.0,78.0,78.0,88.0,96.0,110.0,115.0,113.0,113.0,112.0,113.0,113.0
Ñuble,Camas UCI habilitadas,27.0,27.0,27.0,27.0,28.0,27.0,30.0,30.0,30.0,32.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
Biobío,Camas UCI habilitadas,140.0,150.0,142.0,146.0,147.0,159.0,168.0,188.0,183.0,184.0,186.0,190.0,199.0,198.0,199.0,202.0,203.0,205.0
Araucanía,Camas UCI habilitadas,82.0,82.0,75.0,73.0,72.0,69.0,68.0,72.0,68.0,69.0,74.0,70.0,69.0,69.0,75.0,75.0,74.0,72.0
Los Ríos,Camas UCI habilitadas,23.0,17.0,22.0,19.0,19.0,19.0,20.0,20.0,22.0,22.0,21.0,21.0,21.0,22.0,19.0,20.0,20.0,20.0
Los Lagos,Camas UCI habilitadas,65.0,69.0,72.0,68.0,67.0,72.0,78.0,83.0,85.0,85.0,81.0,81.0,83.0,86.0,92.0,92.0,85.0,85.0
Aysén,Camas UCI habilitadas,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0
Magallanes,Camas UCI habilitadas,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
Total,Camas UCI habilitadas,1627.0,1702.0,1825.0,1825.0,2130.0,2318.0,2576.0,2823.0,3017.0,3018.0,3080.0,3175.0,3184.0,3142.0,3085.0,3001.0,2877.0,2733.0
Arica y Parinacota,Camas UCI ocupadas COVID-19,5.0,9.0,7.0,7.0,8.0,8.0,12.0,11.0,14.0,14.0,15.0,11.0,17.0,23.0,18.0,25.0,25.0,28.0
Tarapacá,Camas UCI ocupadas COVID-19,1.0,2.0,4.0,6.0,12.0,17.0,25.0,41.0,36.0,36.0,32.0,24.0,27.0,31.0,26.0,26.0,22.0,23.0
Antofagasta,Camas UCI ocupadas COVID-19,5.0,15.0,24.0,31.0,49.0,46.0,48.0,51.0,63.0,78.0,84.0,91.0,74.0,87.0,82.0,81.0,71.0,67.0
