,Data,Classi,F24h_confirm,F24h_recup,total_confir,total_recup,total_obito,F24h_obito,F24h_obito_media7d,F24h_confirm_media7d,Hospitalizados,Uti,F24h_obitos_novo,total_obitos_novo,int_extra1,int_extra2,int_extra3,int_extra4,ObjectId,Policy,Date
0,1583625600000.0,Confirmado,,,4.0,,,,,,,,,,,,,,1,10.0,2020-03-08
1,1583712000000.0,Confirmado,5.0,,9.0,,,,,,,,,,,,,,2,10.0,2020-03-09
2,1583798400000.0,Confirmado,3.0,,12.0,,,,,,,,,,11.0,,,,3,10.0,2020-03-10
3,1583884800000.0,Confirmado,1.0,,13.0,,,,,,,,,,12.0,,,,4,10.0,2020-03-11
4,1583971200000.0,Confirmado,8.0,,21.0,,,,,,,,,,20.0,,,,5,10.0,2020-03-12
5,1584057600000.0,Confirmado,4.0,,25.0,,,,,,,,,,24.0,,,,6,10.0,2020-03-13
6,1584144000000.0,Confirmado,5.0,,30.0,,,,,,,,,,20.0,,,,7,10.0,2020-03-14
7,1584230400000.0,Confirmado,8.0,,38.0,,,,,,,,,,21.0,,,,8,10.0,2020-03-15
8,1584316800000.0,Confirmado,4.0,,42.0,,,,,,,,,,25.0,,,,9,10.0,2020-03-16
9,1584403200000.0,Confirmado,6.0,,48.0,,,,,,,,,,98.0,,,,10,0.0,2020-03-17
10,1584489600000.0,Confirmado,3.0,,51.0,,,,,,,,,,113.0,,,,11,0.0,2020-03-18
11,1584576000000.0,Confirmado,9.0,,60.0,,,,,,,,,,170.0,,,,12,0.0,2020-03-19
12,1584662400000.0,Confirmado,3.0,,63.0,,,,,,,,,,230.0,,,,13,0.0,2020-03-20
13,1584748800000.0,Confirmado,0.0,,63.0,,1.0,1.0,,,,,,,257.0,,,,14,0.0,2020-03-21
14,1584835200000.0,Confirmado,31.0,,94.0,,1.0,0.0,,,,,,,46.0,,,,15,0.0,2020-03-22
15,1584921600000.0,Confirmado,9.0,,103.0,,2.0,1.0,,,,,,,50.0,,,,16,0.0,2020-03-23
16,1585008000000.0,Confirmado,67.0,,170.0,,4.0,2.0,,,,,,,351.0,,,,17,0.0,2020-03-24
17,1585094400000.0,Confirmado,44.0,,214.0,16.0,6.0,2.0,,,24.0,13.0,,,326.0,,,,18,0.0,2020-03-25
18,1585180800000.0,Confirmado,64.0,4.0,278.0,20.0,7.0,1.0,,,28.0,15.0,,,293.0,,,,19,0.0,2020-03-26
19,1585267200000.0,Confirmado,53.0,19.0,331.0,39.0,10.0,3.0,,,31.0,18.0,,,426.0,,,,20,0.0,2020-03-27
20,1585353600000.0,Confirmado,37.0,9.0,368.0,48.0,11.0,1.0,,,26.0,17.0,,,1843.0,,,,21,0.0,2020-03-28
21,1585440000000.0,Confirmado,63.0,15.0,431.0,63.0,11.0,0.0,,,30.0,22.0,,,548.0,,,,22,0.0,2020-03-29
22,1585526400000.0,Confirmado,58.0,11.0,489.0,74.0,14.0,3.0,,,31.0,23.0,,,458.0,,,,23,0.0,2020-03-30
23,1585612800000.0,Confirmado,26.0,15.0,515.0,89.0,15.0,1.0,,,38.0,23.0,,,2474.0,,,,24,0.0,2020-03-31
24,1585699200000.0,Confirmado,38.0,5.0,553.0,94.0,18.0,3.0,,,48.0,28.0,,,2373.0,,,,25,0.0,2020-04-01
25,1585785600000.0,Confirmado,30.0,19.0,583.0,113.0,20.0,2.0,2.0,44.0,52.0,28.0,,,2075.0,,,,26,0.0,2020-04-02
26,1585872000000.0,Confirmado,114.0,23.0,697.0,136.0,24.0,4.0,2.0,52.0,64.0,28.0,,,2229.0,,,,27,0.0,2020-04-03
27,1585958400000.0,Confirmado,110.0,18.0,807.0,154.0,31.0,7.0,3.0,63.0,74.0,22.0,,,2195.0,,,,28,0.0,2020-04-04
28,1586044800000.0,Confirmado,60.0,21.0,867.0,175.0,36.0,5.0,4.0,62.0,72.0,22.0,,,819.0,,,,29,0.0,2020-04-05
29,1586131200000.0,Confirmado,115.0,29.0,982.0,204.0,38.0,2.0,3.0,70.0,61.0,33.0,,,644.0,,,,30,0.0,2020-04-06
30,1586217600000.0,Confirmado,86.0,9.0,1068.0,213.0,42.0,4.0,4.0,79.0,74.0,36.0,,,2916.0,,,,31,0.0,2020-04-07
31,1586304000000.0,Confirmado,42.0,19.0,1110.0,232.0,47.0,5.0,4.0,80.0,86.0,30.0,,,2826.0,,,,32,0.0,2020-04-08
32,1586390400000.0,Confirmado,141.0,98.0,1251.0,330.0,59.0,12.0,6.0,95.0,91.0,32.0,,,2651.0,,,,33,0.0,2020-04-09
33,1586476800000.0,Confirmado,198.0,51.0,1449.0,381.0,73.0,14.0,7.0,107.0,78.0,41.0,,,1982.0,,,,34,0.0,2020-04-10
34,1586563200000.0,Confirmado,184.0,43.0,1633.0,424.0,82.0,9.0,7.0,118.0,112.0,38.0,,,947.0,,,,35,0.0,2020-04-11
35,1586649600000.0,Confirmado,175.0,72.0,1808.0,496.0,92.0,10.0,8.0,134.0,155.0,38.0,,,1102.0,,,,36,0.0,2020-04-12
36,1586736000000.0,Confirmado,97.0,75.0,1905.0,571.0,98.0,6.0,9.0,132.0,192.0,60.0,,,973.0,,,,37,0.0,2020-04-13
37,1586822400000.0,Confirmado,91.0,27.0,1996.0,598.0,106.0,8.0,9.0,133.0,170.0,50.0,,,3926.0,,,,38,0.0,2020-04-14
38,1586908800000.0,Confirmado,326.0,30.0,2322.0,628.0,115.0,9.0,10.0,173.0,195.0,62.0,,,3599.0,,,,39,0.0,2020-04-15
39,1586995200000.0,Confirmado,71.0,78.0,2393.0,706.0,140.0,25.0,12.0,163.0,227.0,87.0,,,4090.0,,,,40,0.0,2020-04-16
40,1587081600000.0,Confirmado,126.0,39.0,2519.0,745.0,167.0,27.0,13.0,153.0,238.0,81.0,,,4072.0,,,,41,0.0,2020-04-17
41,1587168000000.0,Confirmado,140.0,29.0,2659.0,774.0,195.0,28.0,16.0,147.0,306.0,89.0,,,3441.0,,,,42,0.0,2020-04-18
42,1587254400000.0,Confirmado,287.0,96.0,2946.0,870.0,219.0,24.0,18.0,163.0,271.0,93.0,,,1430.0,,,,43,0.0,2020-04-19
43,1587340800000.0,Confirmado,113.0,249.0,3059.0,1119.0,237.0,18.0,20.0,165.0,309.0,70.0,,,1156.0,,,,44,0.0,2020-04-20
44,1587427200000.0,Confirmado,68.0,228.0,3127.0,1347.0,245.0,8.0,20.0,162.0,311.0,94.0,,,4930.0,,,,45,0.0,2020-04-21
45,1587513600000.0,Confirmado,116.0,12.0,3243.0,1359.0,257.0,12.0,20.0,132.0,338.0,115.0,,,1404.0,,,,46,0.0,2020-04-22
46,1587600000000.0,Confirmado,344.0,221.0,3587.0,1580.0,283.0,26.0,20.0,171.0,345.0,130.0,,,2355.0,,,,47,0.0,2020-04-23
47,1587686400000.0,Confirmado,69.0,195.0,3656.0,1775.0,303.0,20.0,19.0,162.0,395.0,128.0,,,1081.0,,,,48,0.0,2020-04-24
48,1587772800000.0,Confirmado,371.0,113.0,4027.0,1888.0,322.0,19.0,18.0,195.0,378.0,106.0,,,5470.0,,,,49,0.0,2020-04-25
