Region,Metropolitana,New Deaths
2020-03-22,1,1
2020-03-23,1,0
2020-03-24,2,1
2020-03-25,2,0
2020-03-26,3,1
2020-03-27,3,0
2020-03-28,3,0
2020-03-29,3,0
2020-03-30,3,0
2020-03-31,4,1
2020-04-01,5,1
2020-04-02,6,1
2020-04-03,8,2
2020-04-04,9,1
2020-04-05,10,1
2020-04-06,10,0
2020-04-07,12,2
2020-04-08,14,2
2020-04-09,21,7
2020-04-10,29,8
2020-04-11,32,3
2020-04-12,35,3
2020-04-13,36,1
2020-04-14,40,4
2020-04-15,41,1
2020-04-16,48,7
2020-04-17,51,3
2020-04-18,58,7
2020-04-19,63,5
2020-04-20,67,4
2020-04-21,69,2
2020-04-22,78,9
2020-04-23,85,7
2020-04-24,86,1
2020-04-25,89,3
2020-04-26,91,2
2020-04-27,95,4
2020-04-28,100,5
2020-04-29,104,4
2020-04-30,110,6
2020-05-01,114,4
2020-05-02,122,8
2020-05-03,135,13
2020-05-04,143,8
2020-05-05,146,3
2020-05-06,150,4
2020-05-07,152,2
2020-05-08,157,5
2020-05-09,163,6
2020-05-10,166,3
2020-05-11,172,6
2020-05-12,178,6
2020-05-13,184,6
2020-05-14,202,18
2020-05-15,221,19
2020-05-16,246,25
2020-05-17,270,24
2020-05-18,294,24
2020-05-19,318,24
2020-05-20,348,30
2020-05-21,388,40
2020-05-22,423,35
2020-05-23,455,32
2020-05-24,494,39
2020-05-25,529,35
2020-05-26,567,38
2020-05-27,595,28
2020-05-28,638,43
2020-05-29,685,47
2020-05-30,728,43
2020-05-31,775,47
2020-06-01,824,49
2020-06-02,894,70
2020-06-03,961,67
2020-06-04,1034,73
2020-06-05,1105,71
2020-06-06,1184,79
2020-06-07,1884,700
2020-06-08,1950,66
2020-06-09,1968,18
2020-06-10,2115,147
2020-06-11,2273,158
2020-06-12,2468,195
2020-06-13,2681,213
2020-06-14,2878,197
2020-06-15,2913,35
2020-06-16,2934,21
2020-06-17,3114,180
2020-06-18,3319,205
2020-06-19,3545,226
2020-06-20,3715,170
2020-06-21,3870,155
2020-06-22,3892,22
2020-06-23,3895,3
2020-06-24,4065,170
2020-06-25,4206,141
2020-06-26,4342,136
2020-06-27,4584,242
2020-06-28,4711,127
2020-06-29,4777,66
2020-06-30,4889,112
2020-07-01,4954,65
2020-07-02,5055,101
2020-07-03,5145,90
2020-07-04,5251,106
2020-07-05,5328,77
2020-07-06,5401,73
2020-07-07,5451,50
2020-07-08,5533,82
2020-07-09,5610,77
2020-07-10,5673,63
2020-07-11,5746,73
2020-07-12,5814,68
2020-07-13,5858,44
2020-07-14,5898,40
2020-07-15,5957,59
2020-07-16,6027,70
2020-07-17,6858,831
2020-07-18,6924,66
2020-07-19,6975,51
2020-07-20,7053,78
2020-07-21,7096,43
2020-07-22,7133,37
2020-07-23,7192,59
2020-07-24,7241,49
2020-07-25,7303,62
2020-07-26,7353,50
2020-07-27,7400,47
2020-07-28,7444,44
2020-07-29,7477,33
2020-07-30,7515,38
2020-07-31,7554,39
2020-08-01,7599,45
2020-08-02,7649,50
2020-08-03,7700,51
2020-08-04,7735,35
2020-08-05,7774,39
2020-08-06,7808,34
2020-08-07,7847,39
2020-08-08,7871,24
2020-08-09,7909,38
2020-08-10,7946,37
2020-08-11,7972,26
2020-08-12,7992,20
2020-08-13,8023,31
2020-08-14,8044,21
2020-08-15,8074,30
2020-08-16,8105,31
2020-08-17,8138,33
2020-08-18,8160,22
2020-08-19,8187,27
2020-08-20,8219,32
2020-08-21,8250,31
2020-08-22,8288,38
2020-08-23,8318,30
2020-08-24,8339,21
2020-08-25,8373,34
2020-08-26,8402,29
2020-08-27,8431,29
2020-08-28,8462,31
2020-08-29,8483,21
2020-08-30,8517,34
2020-08-31,8538,21
2020-09-01,8559,21
2020-09-02,8580,21
2020-09-03,8608,28
2020-09-04,8638,30
2020-09-05,8671,33
2020-09-06,8693,22
2020-09-07,8719,26
2020-09-08,8741,22
2020-09-09,8761,20
2020-09-10,8791,30
2020-09-11,8818,27
2020-09-12,8838,20
2020-09-13,8863,25
2020-09-14,8893,30
2020-09-15,8914,21
2020-09-16,8932,18
2020-09-17,8946,14
2020-09-18,8974,28
2020-09-19,8998,24
2020-09-20,9008,10
2020-09-21,9020,12
2020-09-22,9041,21
2020-09-23,9064,23
2020-09-24,9096,32
2020-09-25,9121,25
2020-09-26,9151,30
2020-09-27,9175,24
2020-09-28,9209,34
2020-09-29,9230,21
2020-09-30,9246,16
2020-10-01,9262,16
2020-10-02,9286,24
2020-10-03,9306,20
2020-10-04,9334,28
2020-10-05,9357,23
2020-10-06,9384,27
2020-10-07,9404,20
2020-10-08,9426,22
2020-10-09,9448,22
2020-10-10,9470,22
2020-10-11,9492,22
2020-10-12,9517,25
2020-10-13,9531,14
2020-10-14,9544,13
2020-10-15,9563,19
2020-10-16,9581,18
2020-10-17,9601,20
2020-10-18,9614,13
2020-10-19,9630,16
2020-10-20,9650,20
2020-10-21,9666,16
2020-10-22,9686,20
2020-10-23,9705,19
2020-10-24,9727,22
2020-10-25,9749,22
2020-10-26,9774,25
2020-10-27,9789,15
2020-10-28,9794,5
2020-10-29,9814,20
2020-10-30,9831,17
2020-10-31,9847,16
2020-11-01,9864,17
2020-11-02,9887,23
2020-11-03,9902,15
2020-11-04,9923,21
2020-11-05,9941,18
2020-11-06,9956,15
2020-11-07,9978,22
2020-11-08,9993,15
2020-11-09,10015,22
2020-11-10,10033,18
2020-11-11,10054,21
2020-11-12,10072,18
2020-11-13,10085,13
2020-11-14,10100,15
2020-11-15,10116,16
2020-11-16,10134,18
2020-11-17,10144,10
2020-11-18,10157,13
2020-11-19,10173,16
2020-11-20,10191,18
2020-11-21,10202,11
2020-11-22,10215,13
2020-11-23,10228,13
2020-11-24,10247,19
2020-11-25,10254,7
2020-11-26,10278,24
2020-11-27,10296,18
2020-11-28,10308,12
2020-11-29,10322,14
2020-11-30,10342,20
2020-12-01,10356,14
2020-12-02,10364,8
2020-12-03,10381,17
2020-12-04,10395,14
2020-12-05,10407,12
2020-12-06,10424,17
2020-12-07,10439,15
2020-12-08,10452,13
2020-12-09,10462,10
2020-12-10,10487,25
2020-12-11,10495,8
2020-12-12,10517,22
2020-12-13,10526,9
2020-12-14,10543,17
2020-12-15,10556,13
2020-12-16,10566,10
2020-12-17,10576,10
2020-12-18,10590,14
2020-12-19,10612,22
2020-12-20,10628,16
2020-12-21,10640,12
2020-12-22,10653,13
2020-12-23,10662,9
2020-12-24,10677,15
2020-12-25,10700,23
2020-12-26,10717,17
2020-12-27,10733,16
2020-12-28,10733,0
2020-12-29,10772,39
2020-12-30,10783,11
2020-12-31,10800,17
2021-01-01,10813,13
2021-01-02,10833,20
2021-01-03,10848,15
2021-01-04,10848,0
2021-01-05,10863,15
2021-01-06,10889,26
2021-01-07,10910,21
2021-01-08,10928,18
2021-01-09,10947,19
2021-01-10,10961,14
2021-01-11,10977,16
2021-01-12,10992,15
2021-01-13,11008,16
2021-01-14,11024,16
2021-01-15,11043,19
2021-01-16,11055,12
2021-01-17,11068,13
2021-01-18,11079,11
2021-01-19,11098,19
2021-01-20,11119,21
2021-01-21,11137,18
2021-01-22,11163,26
2021-01-23,11185,22
2021-01-24,11205,20
