english,spanish,portuguese
,,
TOP BAR MENUS,TOP BAR MENUS,TOP BAR MENUS
Arrange,Organizar,Organizar
Chile,Chile,Chile
English,Inglés,Inglês
Exit,Salida,Saída
Graphs-Graphs,Gráficos-Gráficos,Gráficos-Gráficos
Graphs-Map,Gráficos-Mapa,Gráficos-Mapa
Indonesia,Indonesia,Indonésia
Languages,Idiomas,Línguas
Locations,Ubicaciones,Localizações
Luanda,Luanda,Luanda
Map-Graphs,Mapa-Gráficos,Mapa-Gráficos
Map-Map,Mapa-Mapa,Mapa-Mapa
Portuguese,Portugués,Português
Querétaro,Querétaro,Querétaro
Rio de Janeiro,Rio de Janeiro,Rio de Janeiro
Rio de Janeiro,Rio de Janeiro,Rio de Janeiro
Santiago,Santiago,Santiago
Spanish,Español,Espanhol
System Dynamics Visualization,Visualización de dinámica de sistemas,Visualização da dinâmica do sistema
,,
STATIC GRAPH RELATED LABELS,STATIC GRAPH RELATED LABELS,STATIC GRAPH RELATED LABELS
Graph 1: ,Gráfico 1: ,Gráfico 1: 
Graph 2: ,Gráfico 2: ,Gráfico 2: 
History,Historia,História
Simulation,Simulación,Simulação
,,
BOTTOM LEFT COMMAND BUTTONS AND LABELS,BOTTOM LEFT COMMAND BUTTONS AND LABELS,BOTTOM LEFT COMMAND BUTTONS AND LABELS
Clear Simulation,Reiniciar la simulación,Reiniciar Simulação
Log,Registro,Registro
Next Week,La próxima semana,Semana que vem
Order New Ventilators,Solicite nuevos ventiladores,Solicitar novos ventiladores
Rules,Reglas,Regras
Run Autonomously,Ejecutar de forma autónoma,Executar de forma autônoma
,,
AUTONOMOUS SIMULATION WINDOW,AUTONOMOUS SIMULATION WINDOW,AUTONOMOUS SIMULATION WINDOW
How many days do you want the simulation to run for?,¿Cuántos días desea que se ejecute la simulación?,Por quantos dias você deseja que a simulação seja executada?
Run Simulation,Ejecutar simulación,Executar Simulação
,,
STATIC MAP RELATED LABELS,STATIC MAP RELATED LABELS,STATIC MAP RELATED LABELS
Color,Color,Cor
Image,Imagen,Imagem
None,Ninguno,Nenhum
Map,Mapa,Mapa
Img,Img,Img
,,
UNITS,UNITS,UNITS
%,%,%
Celsius,Celsius,Celsius
Day,Dóa,Dia
Days,Días,Dias
dollar/ventilator,dólar por ventilador,dólar por ventilador
likelihood/contact,probabilidad/contacto,probabilidade/contato
Millions USD,Millones de USD,Milhões de dólares
people,personas,pessoas
people/(day*person),personas/(día*persona),pessoas/(dia*pessoa)
people/day,personas por día,pessoas por dia
percent,por ciento,por cento
Percent Change from Baseline,Cambio porcentual desde la línea de base,Alteração percentual da linha de base
ppm,ppm,ppm
probability,probabilidad,probabilidade
Stock Index,Índice bursátil,Índice de ações
Terms Rate,Términos Tasa,Taxa de termos
unitless,sin unidad,sem unidade
ventilator,ventilador,ventilator
ventilator/day,ventilador por día,ventilador por dia
µg / m3,µg / m3,µg / m3
% Relative to Previous Year,% relativo al año anterior,% relação ao ano anterior
Rp Million,Millones de Rp,Rp milhões
ships,Barcos,Navios
radiance,resplandor,radiação
,,
POLICY OPTIONS & HISTORY,POLICY OPTIONS,POLICY OPTIONS
Additional Closures,Cierres adicionales,Fechamentos Adicionais
Calamity State,Estado de calamidad,Estado de calamidade
Closure Policy,Política de cierre,Política de Fechamento
Closure Policy Java,Política de cierre de Java,Política de Fechamento de Java
Closure Policy Sulawesi,Política de cierre de Sulawesi,Política de Fechamento de Sulawesi
Complete Lockdown,Cierre completo,Bloqueio completo
Conservative,Período conservador,Período conservador
Curfew Policy,Política de toque de queda,Política de toque de recolher
Emergency State,Estado de emergencia,Estado de emergência
Enforced Curfew,Toque de queda forzado,Toque de recolher forçado
Fase 1,Fase 1,Fase 1
Fase 2,Fase 2,Fase 2
Fase 3a,Fase 3a,Fase 3a
Fase 3b,Fase 3b,Fase 3b
Fase 4,Fase 4,Fase 4
Fase 5,Fase 5,Fase 5
Fase 6,Fase 6,Fase 6
Fase 6a,Fase 6a,Fase 6a
Fase 6b,Fase 6b,Fase 6b
High Social Restrictions,Altas restricciones sociales,Altas restrições sociais
High Social Restrictions - Provincial,Altas restricciones sociales - Provincial,Altas restrições sociais - Provincial
High Social Restrictions - Zonal,Altas restricciones sociales - Zonal,Altas restrições sociais - Zonal
Implement High Restrictions Java - Zonal,Implementar altas restricciones de Java - Zonal,Implementar restrições altas de Java - Zonal
Implement High Restrictions Nationwide,Implementar altas restricciones a nivel nacional,Implementar restrições altas em todo o país
Implement High Restrictions Sulawesi - Zonal,Implementar altas restricciones de Sulawesi - Zonal,Implementar aestrições altas de Sulawesi - Zonal
Implement Some Restrictions Java - Zonal,Implementar algunas restricciones de Java - Zonal,Implementar algumas restrições de Java - Zonal
Implement Some Restrictions Nationwide,Implementar algunas restricciones a nivel nacional,Implementar algumas restrições em todo o país
Implement Some Restrictions Sulawesi - Zonal,Implementar algunas restricciones de Sulawesi - Zonal,Implementar algumas restrições de Sulawesi - Zonal
Initial Closures,Cierres iniciales,Fechamentos iniciais
Lockdown,Cierre de emergencia,Confinamento
Mandatory Social Distancing,Distanciamiento social obligatorio,Distanciamento Social Obrigatório
Mandatory Social Distancing - Provincial,Distanciamiento social obligatorio - Provincial,Distanciamento Social Obrigatório - Provincial
Mandatory Social Distancing - Zonal,Distanciamiento social obligatorio - Zonal,Distanciamento Social Obrigatório - Zonal
New Ventilator Orders,Nuevos pedidos de ventiladores,Novos pedidos de ventiladores
No Closures,Sin cierres,Sem fechamentos
No Curfew,No hay toque de queda,Sem toque de recolher
No Distancing,Sin distanciamiento,Sem distanciamento
Order More Ventilators,Solicite más ventiladores,Peça mais ventiladores
Paso 1,Paso 1,Paso 1
Paso 2,Paso 2,Paso 2
Paso 3,Paso 3,Paso 3
Paso 4,Paso 4,Paso 4
Paso 5,Paso 5,Paso 5
Pay More for Ventilators to Accelerate Delivery,Pague más por los ventiladores para acelerar la entrega,Pague mais por ventiladores para acelerar a entrega
Policies & Actions,Políticas y acciones,Políticas e Ações
Pre-Emergency,Pre-emergencia,Pré-Emergência
Re-open Some Businesses,Reabrir algunos negocios,Reabrir algumas empresas
Relax Mandatory Social Distancing,Relajamiento Distancia social obligatoria,Relaxe o distanciamento social obrigatório
Relax Mandatory Social Distancing Java - Zonal,Relax obligatorio distanciamiento social de Java - Zonal,Relaxe o distanciamento social obrigatório de Java - Zonal
Relax Mandatory Social Distancing Nationwide,Relax obligatorio distanciamiento social a nivel nacional,Relaxe o distanciamento social obrigatório em todo o país
