ID_CAMPAIGN,ID_DATE,DATA_APPLIED,ID_GROUP,POPULATION_GROUP,ID_AP,NAME_AP,ID_AGE_RANGE,AGE_RANGE,NAME_DOSE,DOSES_APPLIED,DATA_UPDATED,ObjectId
56,20210119,2021-01-19,1,IDOSOS,1,AP 10,3,70 a 74 anos,D1,0,2021-01-03,1
56,20210119,2021-01-19,1,IDOSOS,1,AP 10,54,80 e mais,D2,0,2021-01-03,2
56,20210119,2021-01-19,1,IDOSOS,4,AP 31,54,80 e mais,D2,0,2021-01-03,3
56,20210119,2021-01-19,1,IDOSOS,5,AP 32,1,60 a 64 anos,D1,0,2021-01-03,4
56,20210119,2021-01-19,1,IDOSOS,5,AP 32,4,75 a 79 anos,D1,0,2021-01-03,5
56,20210119,2021-01-19,1,IDOSOS,7,AP 40,1,60 a 64 anos,D2,0,2021-01-03,6
56,20210119,2021-01-19,1,IDOSOS,8,AP 51,3,70 a 74 anos,D1,0,2021-01-03,7
56,20210119,2021-01-19,1,IDOSOS,9,AP 52,54,80 e mais,D1,0,2021-01-03,8
56,20210119,2021-01-19,4,TRAB. SAUDE,1,AP 10,69,(60 anos e +),D1,0,2021-01-03,9
56,20210119,2021-01-19,4,TRAB. SAUDE,1,AP 10,135,18 a 59 anos,D1,0,2021-01-03,10
56,20210119,2021-01-19,4,TRAB. SAUDE,4,AP 31,135,18 a 59 anos,D2,0,2021-01-03,11
56,20210119,2021-01-19,4,TRAB. SAUDE,5,AP 32,135,18 a 59 anos,D2,0,2021-01-03,12
56,20210119,2021-01-19,4,TRAB. SAUDE,6,AP 33,135,18 a 59 anos,D1,83,2021-01-03,13
56,20210119,2021-01-19,4,TRAB. SAUDE,7,AP 40,69,(60 anos e +),D1,1,2021-01-03,14
56,20210119,2021-01-19,4,TRAB. SAUDE,8,AP 51,135,18 a 59 anos,D2,0,2021-01-03,15
56,20210119,2021-01-19,4,TRAB. SAUDE,9,AP 52,69,(60 anos e +),D2,0,2021-01-03,16
56,20210119,2021-01-19,4,TRAB. SAUDE,9,AP 52,135,18 a 59 anos,D1,0,2021-01-03,17
56,20210119,2021-01-19,81,QUILOMBOLAS,1,AP 10,135,18 a 59 anos,D1,0,2021-01-03,18
56,20210119,2021-01-19,81,QUILOMBOLAS,4,AP 31,135,18 a 59 anos,D1,0,2021-01-03,19
56,20210119,2021-01-19,81,QUILOMBOLAS,5,AP 32,135,18 a 59 anos,D1,0,2021-01-03,20
56,20210119,2021-01-19,81,QUILOMBOLAS,7,AP 40,135,18 a 59 anos,D1,0,2021-01-03,21
56,20210119,2021-01-19,81,QUILOMBOLAS,8,AP 51,135,18 a 59 anos,D2,0,2021-01-03,22
56,20210119,2021-01-19,81,QUILOMBOLAS,9,AP 52,135,18 a 59 anos,D2,0,2021-01-03,23
56,20210119,2021-01-19,82,INDÍGENAS,1,AP 10,137,18 a 80 e mais,D2,0,2021-01-03,24
56,20210119,2021-01-19,82,INDÍGENAS,4,AP 31,137,18 a 80 e mais,D1,0,2021-01-03,25
56,20210119,2021-01-19,82,INDÍGENAS,4,AP 31,137,18 a 80 e mais,D2,0,2021-01-03,26
56,20210119,2021-01-19,82,INDÍGENAS,4,AP 31,137,18 a 80 e mais,D2,0,2021-01-03,27
56,20210119,2021-01-19,82,INDÍGENAS,5,AP 32,137,18 a 80 e mais,D1,0,2021-01-03,28
56,20210119,2021-01-19,82,INDÍGENAS,5,AP 32,137,18 a 80 e mais,D1,0,2021-01-03,29
56,20210119,2021-01-19,82,INDÍGENAS,6,AP 33,137,18 a 80 e mais,D2,0,2021-01-03,30
56,20210119,2021-01-19,82,INDÍGENAS,6,AP 33,137,18 a 80 e mais,D2,0,2021-01-03,31
56,20210119,2021-01-19,82,INDÍGENAS,7,AP 40,137,18 a 80 e mais,D2,0,2021-01-03,32
56,20210119,2021-01-19,82,INDÍGENAS,7,AP 40,137,18 a 80 e mais,D2,0,2021-01-03,33
56,20210119,2021-01-19,82,INDÍGENAS,7,AP 40,137,18 a 80 e mais,D2,0,2021-01-03,34
56,20210119,2021-01-19,82,INDÍGENAS,8,AP 51,137,18 a 80 e mais,D1,0,2021-01-03,35
56,20210119,2021-01-19,82,INDÍGENAS,8,AP 51,137,18 a 80 e mais,D1,0,2021-01-03,36
56,20210119,2021-01-19,82,INDÍGENAS,9,AP 52,137,18 a 80 e mais,D1,0,2021-01-03,37
56,20210119,2021-01-19,83,ILPI,4,AP 31,69,(60 anos e +),D1,24,2021-01-03,38
56,20210119,2021-01-19,83,ILPI,4,AP 31,69,(60 anos e +),D1,39,2021-01-03,39
56,20210119,2021-01-19,83,ILPI,5,AP 32,69,(60 anos e +),D2,0,2021-01-03,40
56,20210119,2021-01-19,83,ILPI,6,AP 33,69,(60 anos e +),D2,0,2021-01-03,41
56,20210119,2021-01-19,83,ILPI,6,AP 33,69,(60 anos e +),D1,0,2021-01-03,42
56,20210119,2021-01-19,83,ILPI,7,AP 40,69,(60 anos e +),D1,2,2021-01-03,43
56,20210119,2021-01-19,83,ILPI,7,AP 40,69,(60 anos e +),D1,5,2021-01-03,44
56,20210119,2021-01-19,84,INSTITUCIONALIZADOS PCD/OUTROS,1,AP 10,135,18 a 59 anos,D1,0,2021-01-03,45
56,20210119,2021-01-19,84,INSTITUCIONALIZADOS PCD/OUTROS,1,AP 10,135,18 a 59 anos,D2,0,2021-01-03,46
56,20210119,2021-01-19,84,INSTITUCIONALIZADOS PCD/OUTROS,5,AP 32,135,18 a 59 anos,D1,0,2021-01-03,47
56,20210119,2021-01-19,84,INSTITUCIONALIZADOS PCD/OUTROS,7,AP 40,135,18 a 59 anos,D2,0,2021-01-03,48
56,20210119,2021-01-19,84,INSTITUCIONALIZADOS PCD/OUTROS,8,AP 51,135,18 a 59 anos,D1,0,2021-01-03,49
56,20210119,2021-01-19,84,INSTITUCIONALIZADOS PCD/OUTROS,8,AP 51,135,18 a 59 anos,D2,0,2021-01-03,50
56,20210119,2021-01-19,82,INDÍGENAS,8,AP 51,137,18 a 80 e mais,D1,0,2021-01-03,51
56,20210119,2021-01-19,82,INDÍGENAS,8,AP 51,137,18 a 80 e mais,D1,0,2021-01-03,52
56,20210119,2021-01-19,82,INDÍGENAS,9,AP 52,137,18 a 80 e mais,D1,0,2021-01-03,53
56,20210119,2021-01-19,82,INDÍGENAS,9,AP 52,137,18 a 80 e mais,D1,0,2021-01-03,54
56,20210119,2021-01-19,83,ILPI,5,AP 32,69,(60 anos e +),D1,1,2021-01-03,55
56,20210119,2021-01-19,83,ILPI,5,AP 32,69,(60 anos e +),D1,6,2021-01-03,56
56,20210119,2021-01-19,83,ILPI,6,AP 33,69,(60 anos e +),D2,0,2021-01-03,57
56,20210119,2021-01-19,83,ILPI,8,AP 51,69,(60 anos e +),D1,0,2021-01-03,58
56,20210119,2021-01-19,84,INSTITUCIONALIZADOS PCD/OUTROS,1,AP 10,135,18 a 59 anos,D2,0,2021-01-03,59
56,20210119,2021-01-19,84,INSTITUCIONALIZADOS PCD/OUTROS,4,AP 31,135,18 a 59 anos,D2,0,2021-01-03,60
56,20210119,2021-01-19,84,INSTITUCIONALIZADOS PCD/OUTROS,7,AP 40,135,18 a 59 anos,D1,0,2021-01-03,61
56,20210119,2021-01-19,84,INSTITUCIONALIZADOS PCD/OUTROS,9,AP 52,135,18 a 59 anos,D1,0,2021-01-03,62
56,20210119,2021-01-19,84,INSTITUCIONALIZADOS PCD/OUTROS,9,AP 52,135,18 a 59 anos,D2,0,2021-01-03,63
56,20210120,2021-01-20,1,IDOSOS,6,AP 33,2,65 a 69 anos,D2,0,2021-01-03,64
56,20210120,2021-01-20,1,IDOSOS,9,AP 52,4,75 a 79 anos,D2,0,2021-01-03,65
