Fecha,Origen,Destino,Viajes
2020-03-01,El Bosque,Huechuraba,38
2020-03-01,El Bosque,Independencia,70
2020-03-01,El Bosque,La Cisterna,1498
2020-03-01,El Bosque,La Florida,675
2020-03-01,El Bosque,La Granja,55
2020-03-01,El Bosque,La Pintana,515
2020-03-01,El Bosque,La Reina,113
2020-03-01,El Bosque,Las Condes,366
2020-03-01,El Bosque,Lo Barnechea,42
2020-03-01,El Bosque,Lo Espejo,176
2020-03-01,El Bosque,Lo Prado,128
2020-03-01,El Bosque,Macul,62
2020-03-01,El Bosque,Maipu,94
2020-03-01,El Bosque,Nunoa,228
2020-03-01,El Bosque,Pedro Aguirre Cerda,282
2020-03-01,El Bosque,Penalolen,112
2020-03-01,El Bosque,Providencia,579
2020-03-01,El Bosque,Pudahuel,52
2020-03-01,El Bosque,Puente Alto,208
2020-03-01,El Bosque,Quilicura,57
2020-03-01,El Bosque,Quinta Normal,39
2020-03-01,El Bosque,Recoleta,214
2020-03-01,El Bosque,Renca,20
2020-03-01,El Bosque,San Bernardo,1683
2020-03-01,El Bosque,San Joaquin,61
2020-03-01,El Bosque,San Miguel,414
2020-03-01,El Bosque,San Ramon,92
2020-03-01,El Bosque,Santiago,1527
2020-03-01,El Bosque,Vitacura,43
2020-03-01,Estacion Central,Cerrillos,939
2020-03-01,Estacion Central,Cerro Navia,909
2020-03-01,Estacion Central,Conchali,757
2020-03-01,Estacion Central,El Bosque,1086
2020-03-01,Estacion Central,Estacion Central,17877
2020-03-01,Estacion Central,Huechuraba,174
2020-03-01,Estacion Central,Independencia,1079
2020-03-01,Estacion Central,La Cisterna,1442
2020-03-01,Estacion Central,La Florida,1805
2020-03-01,Estacion Central,La Granja,105
2020-03-01,Estacion Central,La Pintana,225
2020-03-01,Estacion Central,La Reina,779
2020-03-01,Estacion Central,Las Condes,3809
2020-03-01,Estacion Central,Lo Barnechea,339
2020-03-01,Estacion Central,Lo Espejo,1138
2020-03-01,Estacion Central,Lo Prado,4735
2020-03-01,Estacion Central,Macul,370
2020-03-01,Estacion Central,Maipu,4250
2020-03-01,Estacion Central,Nunoa,2078
2020-03-01,Estacion Central,Pedro Aguirre Cerda,1496
2020-03-01,Estacion Central,Penalolen,974
2020-03-01,Estacion Central,Providencia,5127
2020-03-01,Estacion Central,Pudahuel,1958
2020-03-01,Estacion Central,Puente Alto,1046
2020-03-01,Estacion Central,Quilicura,838
2020-03-01,Estacion Central,Quinta Normal,989
2020-03-01,Estacion Central,Recoleta,2637
2020-03-01,Estacion Central,Renca,379
2020-03-01,Estacion Central,San Bernardo,3454
2020-03-01,Estacion Central,San Joaquin,422
2020-03-01,Estacion Central,San Miguel,1369
2020-03-01,Estacion Central,San Ramon,434
2020-03-01,Estacion Central,Santiago,20356
2020-03-01,Estacion Central,Vitacura,346
2020-03-01,Estacion Central,La Pintana ,2
2020-03-01,Huechuraba,Cerrillos,18
2020-03-01,Huechuraba,Cerro Navia,21
2020-03-01,Huechuraba,Conchali,681
2020-03-01,Huechuraba,El Bosque,24
2020-03-01,Huechuraba,Estacion Central,309
2020-03-01,Huechuraba,Huechuraba,1620
2020-03-01,Huechuraba,Independencia,312
2020-03-01,Huechuraba,La Cisterna,103
2020-03-01,Huechuraba,La Florida,92
2020-03-01,Huechuraba,La Granja,3
2020-03-01,Huechuraba,La Pintana,31
2020-03-01,Huechuraba,La Reina,35
2020-03-01,Huechuraba,Las Condes,193
2020-03-01,Huechuraba,Lo Barnechea,29
2020-03-01,Huechuraba,Lo Espejo,15
2020-03-01,Huechuraba,Lo Prado,109
2020-03-01,Huechuraba,Macul,43
2020-03-01,Huechuraba,Maipu,56
2020-03-01,Huechuraba,Nunoa,100
2020-03-01,Huechuraba,Pedro Aguirre Cerda,31
2020-03-01,Huechuraba,Penalolen,29
2020-03-01,Huechuraba,Providencia,274
2020-03-01,Huechuraba,Pudahuel,58
2020-03-01,Huechuraba,Puente Alto,68
2020-03-01,Huechuraba,Quilicura,1729
2020-03-01,Huechuraba,Quinta Normal,58
2020-03-01,Huechuraba,Recoleta,997
2020-03-01,Huechuraba,Renca,49
2020-03-01,Huechuraba,San Bernardo,20
2020-03-01,Huechuraba,San Joaquin,17
2020-03-01,Huechuraba,San Miguel,83
2020-03-01,Huechuraba,San Ramon,15
2020-03-01,Huechuraba,Santiago,1022
2020-03-01,Huechuraba,Vitacura,62
2020-03-01,Independencia,Cerrillos,75
2020-03-01,Independencia,Cerro Navia,57
2020-03-01,Independencia,Conchali,1201
2020-03-01,Independencia,El Bosque,40
2020-03-01,Independencia,Estacion Central,1083
2020-03-01,Independencia,Huechuraba,222
2020-03-01,Independencia,Independencia,2145
2020-03-01,Independencia,La Cisterna,301
2020-03-01,Independencia,La Florida,460
2020-03-01,Independencia,La Granja,22
2020-03-01,Independencia,La Pintana,33
2020-03-01,Independencia,La Reina,356
2020-03-01,Independencia,Las Condes,996
2020-03-01,Independencia,Lo Barnechea,92
2020-03-01,Independencia,Lo Espejo,38
2020-03-01,Independencia,Lo Prado,438
2020-03-01,Independencia,Macul,148
2020-03-01,Independencia,Maipu,192
2020-03-01,Independencia,Nunoa,795
2020-03-01,Independencia,Pedro Aguirre Cerda,98
2020-03-01,Independencia,Penalolen,208
2020-03-01,Independencia,Providencia,1083
2020-03-01,Independencia,Pudahuel,201
2020-03-01,Independencia,Puente Alto,283
2020-03-01,Independencia,Quilicura,907
2020-03-01,Independencia,Quinta Normal,145
2020-03-01,Independencia,Recoleta,864
2020-03-01,Independencia,Renca,460
2020-03-01,Independencia,San Bernardo,110
2020-03-01,Independencia,San Joaquin,100
2020-03-01,Independencia,San Miguel,322
2020-03-01,Independencia,San Ramon,28
2020-03-01,Independencia,Santiago,4728
2020-03-01,Independencia,Vitacura,137
2020-03-01,La Cisterna,Cerrillos,184
2020-03-01,La Cisterna,Cerro Navia,44
2020-03-01,La Cisterna,Conchali,215
2020-03-01,La Cisterna,El Bosque,1076
2020-03-01,La Cisterna,Estacion Central,1357
2020-03-01,La Cisterna,Huechuraba,86
2020-03-01,La Cisterna,Independencia,291
2020-03-01,La Cisterna,La Cisterna,4061
2020-03-01,La Cisterna,La Florida,2074
2020-03-01,La Cisterna,La Granja,261
2020-03-01,La Cisterna,La Pintana,580
2020-03-01,La Cisterna,La Reina,329
2020-03-01,La Cisterna,Las Condes,785
2020-03-01,La Cisterna,Lo Barnechea,56
2020-03-01,La Cisterna,Lo Espejo,529
2020-03-01,La Cisterna,Lo Prado,447
2020-03-01,La Cisterna,Macul,124
2020-03-01,La Cisterna,Maipu,271
2020-03-01,La Cisterna,Nunoa,532
2020-03-01,La Cisterna,Pedro Aguirre Cerda,625
2020-03-01,La Cisterna,Penalolen,344
2020-03-01,La Cisterna,Providencia,1201
2020-03-01,La Cisterna,Pudahuel,229
2020-03-01,La Cisterna,Puente Alto,579
2020-03-01,La Cisterna,Quilicura,188
2020-03-01,La Cisterna,Quinta Normal,133
2020-03-01,La Cisterna,Recoleta,1115
2020-03-01,La Cisterna,Renca,40
2020-03-01,La Cisterna,San Bernardo,405
2020-03-01,La Cisterna,San Joaquin,156
2020-03-01,La Cisterna,San Miguel,2126
2020-03-01,La Cisterna,San Ramon,1041
2020-03-01,La Cisterna,Santiago,5325
2020-03-01,La Cisterna,Vitacura,59
2020-03-01,La Florida,Cerrillos,197
2020-03-01,La Florida,Cerro Navia,111
2020-03-01,La Florida,Conchali,269
2020-03-01,La Florida,El Bosque,293
2020-03-01,La Florida,Estacion Central,1426
2020-03-01,La Florida,Huechuraba,60
2020-03-01,La Florida,Independencia,443
2020-03-01,La Florida,La Cisterna,1822
2020-03-01,La Florida,La Florida,20762
2020-03-01,La Florida,La Granja,1603
2020-03-01,La Florida,La Pintana,399
2020-03-01,La Florida,La Reina,1294
2020-03-01,La Florida,Las Condes,2061
2020-03-01,La Florida,Lo Barnechea,151
2020-03-01,La Florida,Lo Espejo,137
2020-03-01,La Florida,Lo Prado,741
2020-03-01,La Florida,Macul,2857
2020-03-01,La Florida,Maipu,382
2020-03-01,La Florida,Nunoa,2097
2020-03-01,La Florida,Pedro Aguirre Cerda,291
2020-03-01,La Florida,Penalolen,1991
2020-03-01,La Florida,Providencia,4170
2020-03-01,La Florida,Pudahuel,576
2020-03-01,La Florida,Puente Alto,6801
2020-03-01,La Florida,Quilicura,296
2020-03-01,La Florida,Quinta Normal,433
2020-03-01,La Florida,Recoleta,790
2020-03-01,La Florida,Renca,91
2020-03-01,La Florida,San Bernardo,213
2020-03-01,La Florida,San Joaquin,1358
2020-03-01,La Florida,San Miguel,768
2020-03-01,La Florida,San Ramon,1301
2020-03-01,La Florida,Santiago,6867
2020-03-01,La Florida,Vitacura,199
2020-03-01,La Granja,Cerrillos,54
2020-03-01,La Granja,Cerro Navia,21
2020-03-01,La Granja,Conchali,47
2020-03-01,La Granja,El Bosque,96
2020-03-01,La Granja,Estacion Central,248
2020-03-01,La Granja,Huechuraba,23
2020-03-01,La Granja,Independencia,27
2020-03-01,La Granja,La Cisterna,424
2020-03-01,La Granja,La Florida,1632
2020-03-01,La Granja,La Granja,971
2020-03-01,La Granja,La Pintana,93
2020-03-01,La Granja,La Reina,171
2020-03-01,La Granja,Las Condes,329
2020-03-01,La Granja,Lo Barnechea,66
2020-03-01,La Granja,Lo Espejo,40
2020-03-01,La Granja,Lo Prado,82
2020-03-01,La Granja,Macul,79
2020-03-01,La Granja,Maipu,86
2020-03-01,La Granja,Nunoa,151
2020-03-01,La Granja,Pedro Aguirre Cerda,57
2020-03-01,La Granja,Penalolen,121
2020-03-01,La Granja,Providencia,344
2020-03-01,La Granja,Pudahuel,37
2020-03-01,La Granja,Puente Alto,403
2020-03-01,La Granja,Quilicura,60
2020-03-01,La Granja,Quinta Normal,46
2020-03-01,La Granja,Recoleta,165
2020-03-01,La Granja,Renca,3
2020-03-01,La Granja,San Bernardo,102
2020-03-01,La Granja,San Joaquin,269
2020-03-01,La Granja,San Miguel,152
2020-03-01,La Granja,San Ramon,312
2020-03-01,La Granja,Santiago,1198
2020-03-01,La Granja,Vitacura,61
2020-03-01,La Pintana,Cerrillos,41
2020-03-01,La Pintana,Cerro Navia,32
2020-03-01,La Pintana,Conchali,15
2020-03-01,La Pintana,El Bosque,584
2020-03-01,La Pintana,Estacion Central,396
2020-03-01,La Pintana,Huechuraba,44
2020-03-01,La Pintana,Independencia,48
2020-03-01,La Pintana,La Cisterna,891
2020-03-01,La Pintana,La Florida,1057
2020-03-01,La Pintana,La Granja,407
2020-03-01,La Pintana,La Pintana,1386
2020-03-01,La Pintana,La Reina,215
2020-03-01,La Pintana,Las Condes,413
2020-03-01,La Pintana,Lo Barnechea,36
2020-03-01,La Pintana,Lo Espejo,71
2020-03-01,La Pintana,Lo Prado,67
2020-03-01,La Pintana,Macul,88
2020-03-01,La Pintana,Maipu,90
2020-03-01,La Pintana,Nunoa,169
2020-03-01,La Pintana,Pedro Aguirre Cerda,92
2020-03-01,La Pintana,Penalolen,135
2020-03-01,La Pintana,Providencia,397
2020-03-01,La Pintana,Pudahuel,48
2020-03-01,La Pintana,Puente Alto,613
2020-03-01,La Pintana,Quilicura,66
2020-03-01,La Pintana,Quinta Normal,30
2020-03-01,La Pintana,Recoleta,232
2020-03-01,La Pintana,Renca,22
2020-03-01,La Pintana,San Bernardo,190
2020-03-01,La Pintana,San Joaquin,150
2020-03-01,La Pintana,San Miguel,216
2020-03-01,La Pintana,San Ramon,184
2020-03-01,La Pintana,Santiago,1164
2020-03-01,La Pintana,Vitacura,112
2020-03-01,La Reina,Cerrillos,98
2020-03-01,La Reina,Cerro Navia,41
2020-03-01,La Reina,Conchali,196
2020-03-01,La Reina,El Bosque,46
2020-03-01,La Reina,Estacion Central,646
2020-03-01,La Reina,Huechuraba,61
2020-03-01,La Reina,Independencia,336
2020-03-01,La Reina,La Cisterna,249
2020-03-01,La Reina,La Florida,975
2020-03-01,La Reina,La Granja,50
2020-03-01,La Reina,La Pintana,55
2020-03-01,La Reina,La Reina,1986
2020-03-01,La Reina,Las Condes,1160
2020-03-01,La Reina,Lo Barnechea,56
2020-03-01,La Reina,Lo Espejo,37
2020-03-01,La Reina,Lo Prado,375
2020-03-01,La Reina,Macul,215
2020-03-01,La Reina,Maipu,161
2020-03-01,La Reina,Nunoa,3865
2020-03-01,La Reina,Pedro Aguirre Cerda,111
2020-03-01,La Reina,Penalolen,1120
2020-03-01,La Reina,Providencia,1415
2020-03-01,La Reina,Pudahuel,116
2020-03-01,La Reina,Puente Alto,993
2020-03-01,La Reina,Quilicura,194
2020-03-01,La Reina,Quinta Normal,134
2020-03-01,La Reina,Recoleta,219
2020-03-01,La Reina,Renca,33
2020-03-01,La Reina,San Bernardo,63
2020-03-01,La Reina,San Joaquin,100
2020-03-01,La Reina,San Miguel,271
2020-03-01,La Reina,San Ramon,118
2020-03-01,La Reina,Santiago,2935
2020-03-01,La Reina,Vitacura,64
2020-03-01,Las Condes,Cerrillos,270
2020-03-01,Las Condes,Cerro Navia,258
2020-03-01,Las Condes,Conchali,341
2020-03-01,Las Condes,El Bosque,163
2020-03-01,Las Condes,Estacion Central,3109
2020-03-01,Las Condes,Huechuraba,507
2020-03-01,Las Condes,Independencia,789
2020-03-01,Las Condes,La Cisterna,768
2020-03-01,Las Condes,La Florida,1923
2020-03-01,Las Condes,La Granja,124
2020-03-01,Las Condes,La Pintana,215
2020-03-01,Las Condes,La Reina,968
2020-03-01,Las Condes,Las Condes,11445
2020-03-01,Las Condes,Lo Barnechea,1290
2020-03-01,Las Condes,Lo Espejo,122
2020-03-01,Las Condes,Lo Prado,1690
2020-03-01,Las Condes,Macul,450
2020-03-01,Las Condes,Maipu,835
2020-03-01,Las Condes,Nunoa,2038
2020-03-01,Las Condes,Pedro Aguirre Cerda,459
2020-03-01,Las Condes,Penalolen,1115
2020-03-01,Las Condes,Providencia,5360
2020-03-01,Las Condes,Pudahuel,606
2020-03-01,Las Condes,Puente Alto,1709
2020-03-01,Las Condes,Quilicura,488
2020-03-01,Las Condes,Quinta Normal,512
2020-03-01,Las Condes,Recoleta,829
2020-03-01,Las Condes,Renca,139
2020-03-01,Las Condes,San Bernardo,330
2020-03-01,Las Condes,San Joaquin,293
2020-03-01,Las Condes,San Miguel,1008
2020-03-01,Las Condes,San Ramon,310
2020-03-01,Las Condes,Santiago,9058
2020-03-01,Las Condes,Vitacura,528
2020-03-01,Lo Barnechea,Cerrillos,35
2020-03-01,Lo Barnechea,Cerro Navia,59
2020-03-01,Lo Barnechea,Conchali,55
2020-03-01,Lo Barnechea,El Bosque,26
2020-03-01,Lo Barnechea,Estacion Central,411
2020-03-01,Lo Barnechea,Huechuraba,73
2020-03-01,Lo Barnechea,Independencia,109
2020-03-01,Lo Barnechea,La Cisterna,89
2020-03-01,Lo Barnechea,La Florida,215
2020-03-01,Lo Barnechea,La Granja,20
2020-03-01,Lo Barnechea,La Pintana,37
2020-03-01,Lo Barnechea,La Reina,56
2020-03-01,Lo Barnechea,Las Condes,1334
2020-03-01,Lo Barnechea,Lo Barnechea,1115
2020-03-01,Lo Barnechea,Lo Espejo,28
2020-03-01,Lo Barnechea,Lo Prado,165
2020-03-01,Lo Barnechea,Macul,57
2020-03-01,Lo Barnechea,Maipu,82
2020-03-01,Lo Barnechea,Nunoa,178
2020-03-01,Lo Barnechea,Pedro Aguirre Cerda,46
2020-03-01,Lo Barnechea,Penalolen,159
2020-03-01,Lo Barnechea,Providencia,446
2020-03-01,Lo Barnechea,Pudahuel,107
2020-03-01,Lo Barnechea,Puente Alto,196
2020-03-01,Lo Barnechea,Quilicura,75
2020-03-01,Lo Barnechea,Quinta Normal,105
2020-03-01,Lo Barnechea,Recoleta,124
2020-03-01,Lo Barnechea,Renca,18
2020-03-01,Lo Barnechea,San Bernardo,44
2020-03-01,Lo Barnechea,San Joaquin,46
2020-03-01,Lo Barnechea,San Miguel,96
2020-03-01,Lo Barnechea,San Ramon,63
2020-03-01,Lo Barnechea,Santiago,1277
2020-03-01,Lo Barnechea,Vitacura,376
2020-03-01,Lo Espejo,Cerrillos,412
2020-03-01,Lo Espejo,Cerro Navia,36
2020-03-01,Lo Espejo,Conchali,41
2020-03-01,Lo Espejo,El Bosque,190
2020-03-01,Lo Espejo,Estacion Central,1071
2020-03-01,Lo Espejo,Huechuraba,16
2020-03-01,Lo Espejo,Independencia,49
2020-03-01,Lo Espejo,La Cisterna,1047
2020-03-01,Lo Espejo,La Florida,273
2020-03-01,Lo Espejo,La Granja,39
2020-03-01,Lo Espejo,La Pintana,77
2020-03-01,Lo Espejo,La Reina,78
2020-03-01,Lo Espejo,Las Condes,208
2020-03-01,Lo Espejo,Lo Barnechea,19
2020-03-01,Lo Espejo,Lo Espejo,1266
2020-03-01,Lo Espejo,Lo Prado,51
2020-03-01,Lo Espejo,Macul,33
2020-03-01,Lo Espejo,Maipu,354
2020-03-01,Lo Espejo,Nunoa,137
2020-03-01,Lo Espejo,Pedro Aguirre Cerda,746
2020-03-01,Lo Espejo,Penalolen,50
2020-03-01,Lo Espejo,Providencia,261
2020-03-01,Lo Espejo,Pudahuel,59
2020-03-01,Lo Espejo,Puente Alto,101
2020-03-01,Lo Espejo,Quilicura,46
2020-03-01,Lo Espejo,Quinta Normal,60
2020-03-01,Lo Espejo,Recoleta,186
2020-03-01,Lo Espejo,Renca,32
2020-03-01,Lo Espejo,San Bernardo,542
2020-03-01,Lo Espejo,San Joaquin,59
2020-03-01,Lo Espejo,San Miguel,336
2020-03-01,Lo Espejo,San Ramon,91
2020-03-01,Lo Espejo,Santiago,1334
2020-03-01,Lo Espejo,Vitacura,32
2020-03-01,Lo Prado,Cerrillos,174
2020-03-01,Lo Prado,Cerro Navia,856
2020-03-01,Lo Prado,Conchali,265
2020-03-01,Lo Prado,El Bosque,90
2020-03-01,Lo Prado,Estacion Central,4966
2020-03-01,Lo Prado,Huechuraba,50
2020-03-01,Lo Prado,Independencia,397
2020-03-01,Lo Prado,La Cisterna,511
2020-03-01,Lo Prado,La Florida,881
2020-03-01,Lo Prado,La Granja,24
2020-03-01,Lo Prado,La Pintana,57
2020-03-01,Lo Prado,La Reina,418
2020-03-01,Lo Prado,Las Condes,1877
2020-03-01,Lo Prado,Lo Barnechea,127
2020-03-01,Lo Prado,Lo Espejo,49
2020-03-01,Lo Prado,Lo Prado,6758
2020-03-01,Lo Prado,Macul,183
2020-03-01,Lo Prado,Maipu,2959
2020-03-01,Lo Prado,Nunoa,940
2020-03-01,Lo Prado,Pedro Aguirre Cerda,135
2020-03-01,Lo Prado,Penalolen,320
2020-03-01,Lo Prado,Providencia,3108
2020-03-01,Lo Prado,Pudahuel,2961
2020-03-01,Lo Prado,Puente Alto,506
2020-03-01,Lo Prado,Quilicura,235
2020-03-01,Lo Prado,Quinta Normal,860
2020-03-01,Lo Prado,Recoleta,981
2020-03-01,Lo Prado,Renca,241
2020-03-01,Lo Prado,San Bernardo,218
2020-03-01,Lo Prado,San Joaquin,172
2020-03-01,Lo Prado,San Miguel,509
2020-03-01,Lo Prado,San Ramon,138
2020-03-01,Lo Prado,Santiago,7061
2020-03-01,Lo Prado,Vitacura,178
2020-03-01,Macul,Cerrillos,91
2020-03-01,Macul,Cerro Navia,65
2020-03-01,Macul,Conchali,63
2020-03-01,Macul,El Bosque,20
2020-03-01,Macul,Estacion Central,421
2020-03-01,Macul,Huechuraba,18
2020-03-01,Macul,Independencia,161
2020-03-01,Macul,La Cisterna,112
2020-03-01,Macul,La Florida,1915
2020-03-01,Macul,La Granja,40
2020-03-01,Macul,La Pintana,77
2020-03-01,Macul,La Reina,196
2020-03-01,Macul,Las Condes,428
2020-03-01,Macul,Lo Barnechea,43
2020-03-01,Macul,Lo Espejo,34
2020-03-01,Macul,Lo Prado,206
2020-03-01,Macul,Macul,1777
2020-03-01,Macul,Maipu,181
2020-03-01,Macul,Nunoa,1613
2020-03-01,Macul,Pedro Aguirre Cerda,158
2020-03-01,Macul,Penalolen,628
2020-03-01,Macul,Providencia,1040
2020-03-01,Macul,Pudahuel,148
2020-03-01,Macul,Puente Alto,550
2020-03-01,Macul,Quilicura,88
2020-03-01,Macul,Quinta Normal,109
2020-03-01,Macul,Recoleta,184
2020-03-01,Macul,Renca,32
2020-03-01,Macul,San Bernardo,78
2020-03-01,Macul,San Joaquin,537
2020-03-01,Macul,San Miguel,230
2020-03-01,Macul,San Ramon,79
2020-03-01,Macul,Santiago,1975
2020-03-01,Macul,Vitacura,48
2020-03-01,Maipu,Cerrillos,2604
2020-03-01,Maipu,Cerro Navia,471
2020-03-01,Maipu,Conchali,182
2020-03-01,Maipu,El Bosque,87
2020-03-01,Maipu,Estacion Central,5405
2020-03-01,Maipu,Huechuraba,55
2020-03-01,Maipu,Independencia,264
2020-03-01,Maipu,La Cisterna,328
2020-03-01,Maipu,La Florida,608
2020-03-01,Maipu,La Granja,69
2020-03-01,Maipu,La Pintana,54
2020-03-01,Maipu,La Reina,248
2020-03-01,Maipu,Las Condes,1320
2020-03-01,Maipu,Lo Barnechea,79
2020-03-01,Maipu,Lo Espejo,426
2020-03-01,Maipu,Lo Prado,1275
2020-03-01,Maipu,Macul,182
2020-03-01,Maipu,Maipu,20238
2020-03-01,Maipu,Nunoa,855
2020-03-01,Maipu,Pedro Aguirre Cerda,246
2020-03-01,Maipu,Penalolen,240
2020-03-01,Maipu,Providencia,1916
2020-03-01,Maipu,Pudahuel,1464
2020-03-01,Maipu,Puente Alto,219
2020-03-01,Maipu,Quilicura,279
2020-03-01,Maipu,Quinta Normal,430
2020-03-01,Maipu,Recoleta,623
2020-03-01,Maipu,Renca,313
2020-03-01,Maipu,San Bernardo,264
2020-03-01,Maipu,San Joaquin,163
2020-03-01,Maipu,San Miguel,392
2020-03-01,Maipu,San Ramon,90
2020-03-01,Maipu,Santiago,5187
2020-03-01,Maipu,Vitacura,152
2020-03-01,Nunoa,Cerrillos,297
2020-03-01,Nunoa,Cerro Navia,155
2020-03-01,Nunoa,Conchali,304
2020-03-01,Nunoa,El Bosque,100
2020-03-01,Nunoa,Estacion Central,1485
2020-03-01,Nunoa,Huechuraba,68
2020-03-01,Nunoa,Independencia,698
2020-03-01,Nunoa,La Cisterna,396
2020-03-01,Nunoa,La Florida,2370
2020-03-01,Nunoa,La Granja,84
2020-03-01,Nunoa,La Pintana,150
2020-03-01,Nunoa,La Reina,2094
2020-03-01,Nunoa,Las Condes,1750
2020-03-01,Nunoa,Lo Barnechea,112
2020-03-01,Nunoa,Lo Espejo,84
2020-03-01,Nunoa,Lo Prado,713
2020-03-01,Nunoa,Macul,1697
2020-03-01,Nunoa,Maipu,601
2020-03-01,Nunoa,Nunoa,9659
2020-03-01,Nunoa,Pedro Aguirre Cerda,283
2020-03-01,Nunoa,Penalolen,3091
2020-03-01,Nunoa,Providencia,4052
2020-03-01,Nunoa,Pudahuel,379
2020-03-01,Nunoa,Puente Alto,1348
2020-03-01,Nunoa,Quilicura,359
2020-03-01,Nunoa,Quinta Normal,418
