Sintomas,Hospitalización,2020-03-11,2020-03-14,2020-03-15,2020-03-16,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28
Cefalea,NO,8,18,29,31,394,,578,671,836,945,1057,1232,1448,1557,1813,2031,2194,2310,2441,2603,2739,2876,2977,3040,87154.0,97888.0,130436.0,144757.0,159769.0,165852.0,175697.0,184812.0,190147.0,195376.0,202844.0,205907.0,209441.0,212058.0,216769.0,219278.0,222351.0,224474.0,227090.0,229975.0,233540.0
Tos,NO,11,25,38,43,597,,896,1030,1231,1359,1495,1714,1992,2136,2359,2621,2810,2976,3115,3274,3420,3548,3667,3750,83726.0,94246.0,124642.0,137903.0,151693.0,157279.0,166166.0,174011.0,178583.0,183196.0,189662.0,192243.0,195214.0,197480.0,201107.0,202620.0,204541.0,206025.0,207780.0,210025.0,212910.0
Mialgia,NO,6,19,28,34,452,,689,793,966,1064,1184,1349,1553,1656,1923,2143,2303,2438,2565,2706,2810,2934,3025,3082,83092.0,93630.0,124048.0,137349.0,151387.0,157108.0,166053.0,174173.0,178872.0,183569.0,190252.0,192923.0,196081.0,198351.0,202239.0,204006.0,206216.0,207828.0,209914.0,212288.0,215295.0
Fiebre,NO,9,21,30,35,496,,738,866,1053,1148,1257,1440,1657,1757,2007,2199,2347,2478,2603,2728,2818,2925,2990,3041,61082.0,67976.0,84973.0,92704.0,100374.0,103604.0,108473.0,112884.0,115332.0,117889.0,121559.0,122994.0,124709.0,125961.0,127978.0,128539.0,129465.0,130095.0,130762.0,131873.0,133361.0
Odinofagia,NO,7,20,27,33,407,,575,663,768,843,927,1047,1191,1275,1476,1623,1733,1823,1903,1999,2090,2170,2241,2287,50081.0,55893.0,73432.0,81315.0,89124.0,92404.0,97597.0,102448.0,105254.0,108064.0,112279.0,113994.0,115922.0,117404.0,120014.0,121484.0,123380.0,124690.0,126299.0,127920.0,130035.0
Anosmia,NO,,,,,,,,,,,,,,,,,,,,,,,,,24235.0,28087.0,38109.0,42741.0,47962.0,50159.0,53589.0,56837.0,58809.0,60617.0,63190.0,64216.0,65391.0,66278.0,67741.0,68628.0,69739.0,70556.0,71540.0,72405.0,73504.0
Ageusia,NO,,,,,,,,,,,,,,,,,,,,,,,,,18803.0,21841.0,29971.0,33609.0,37750.0,39509.0,42318.0,44984.0,46592.0,48015.0,50112.0,50921.0,51857.0,52557.0,53759.0,54416.0,55331.0,55913.0,56656.0,57332.0,58218.0
Disnea,NO,2,3,6,7,78,,139,171,217,247,297,353,426,465,559,639,704,753,794,839,861,911,935,953,15766.0,17994.0,24607.0,27654.0,30639.0,31978.0,33833.0,35565.0,36522.0,37543.0,38835.0,39297.0,39853.0,40249.0,40750.0,40713.0,40588.0,40736.0,40757.0,41079.0,41436.0
Diarrea,NO,,,,,,,55,73,105,121,142,172,207,237,281,322,356,368,397,428,450,482,502,511,13609.0,15338.0,21222.0,23747.0,26539.0,27708.0,29777.0,31613.0,32570.0,33528.0,34821.0,35400.0,35999.0,36484.0,37434.0,37904.0,38428.0,38822.0,39248.0,39736.0,40397.0
Dolor torácico,NO,5,6,7,7,41,,64,77,93,109,123,140,172,189,231,264,302,333,353,377,392,405,424,432,11988.0,13718.0,19516.0,21982.0,24463.0,25530.0,27176.0,28689.0,29517.0,30311.0,31369.0,31785.0,32231.0,32570.0,33082.0,33309.0,33549.0,33700.0,33814.0,34133.0,34473.0
Dolor abdominal,NO,,,,,16,,26,33,47,50,60,73,92,102,131,154,179,190,198,220,227,248,257,260,8105.0,9117.0,12594.0,14121.0,15692.0,16406.0,17502.0,18601.0,19172.0,19769.0,20577.0,20911.0,21278.0,21570.0,22136.0,22379.0,22727.0,22961.0,23266.0,23545.0,23955.0
Taquipnea,NO,,,,,16,,27,31,42,51,62,80,99,107,128,142,161,178,187,190,194,205,209,211,1626.0,1836.0,2459.0,2789.0,3024.0,3155.0,3342.0,3534.0,3623.0,3731.0,3842.0,3872.0,3926.0,3950.0,3974.0,3903.0,3800.0,3788.0,3740.0,3765.0,3783.0
Cianosis,NO,,,,,1,,3,4,4,6,9,9,10,10,15,16,17,18,22,23,23,23,23,24,147.0,162.0,229.0,269.0,292.0,304.0,317.0,334.0,341.0,342.0,351.0,348.0,347.0,352.0,349.0,340.0,329.0,327.0,322.0,325.0,331.0
Postración,NO,,,,,5,,5,5,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congestión nasal,NO,2,6,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cefalea,SI,,,,,,48,60,65,83,86,95,115,133,139,166,184,199,209,228,256,297,346,374,380,8309.0,9291.0,5653.0,5990.0,6409.0,6597.0,6887.0,7250.0,7522.0,7727.0,8208.0,8366.0,8531.0,8626.0,8929.0,9991.0,11389.0,12185.0,13230.0,13433.0,13761.0
Tos,SI,,,,,,103,129,147,173,180,200,234,273,284,318,362,390,418,451,489,548,619,674,684,6813.0,7580.0,10501.0,11214.0,12027.0,12411.0,9797.0,13639.0,14112.0,14507.0,15361.0,15673.0,15994.0,16209.0,16800.0,18315.0,20282.0,21347.0,22732.0,23101.0,23599.0
Mialgia,SI,,,,,,71,88,97,116,118,132,154,174,181,212,243,257,274,295,314,361,422,456,462,5872.0,6586.0,7109.0,7600.0,8966.0,8424.0,12981.0,9238.0,9582.0,9840.0,10431.0,10636.0,10839.0,10971.0,11368.0,12635.0,14258.0,15136.0,16314.0,16553.0,16937.0
Fiebre,SI,,,,,,98,122,141,171,178,195,231,264,274,320,357,381,405,439,463,528,598,648,657,5597.0,6285.0,8523.0,9084.0,9708.0,9997.0,10408.0,10879.0,11213.0,11482.0,12120.0,12347.0,12559.0,12695.0,13077.0,14182.0,15529.0,16245.0,17289.0,17544.0,17901.0
Odinofagia,SI,,,,,,48,54,63,75,80,87,100,112,118,144,159,174,185,201,215,245,279,307,311,4444.0,4981.0,3054.0,3215.0,3366.0,3438.0,3561.0,3725.0,3851.0,3961.0,4171.0,4242.0,4313.0,4350.0,4503.0,5001.0,5700.0,6128.0,6667.0,6777.0,6917.0
Anosmia,SI,,,,,,,,,,,,,,,,,,,,,,,,,2479.0,2757.0,828.0,877.0,971.0,1013.0,1057.0,1130.0,1193.0,1231.0,1312.0,1350.0,1390.0,1404.0,1464.0,1662.0,1905.0,2062.0,2249.0,2275.0,2321.0
