Casos,Pacientes criticos
2020-03-27,10
2020-03-28,11
2020-03-29,14
2020-03-30,13
2020-03-31,20
2020-04-02,31
2020-04-03,29
2020-04-04,38
2020-04-05,36
2020-04-06,53
2020-04-07,54
2020-04-08,57
2020-04-09,54
2020-04-10,70
2020-04-11,83
2020-04-12,78
2020-04-13,100
2020-04-14,90
2020-04-15,91
2020-04-16,90
2020-04-17,97
2020-04-18,91
2020-04-19,96
2020-04-20,92
2020-04-21,67
2020-04-22,66
2020-04-23,75
2020-04-24,83
2020-04-25,83
2020-04-26,75
2020-04-27,81
2020-04-28,75
2020-04-29,67
2020-04-30,69
2020-05-01,65
2020-05-02,62
2020-05-03,69
2020-05-04,71
2020-05-05,77
2020-05-06,85
2020-05-07,79
2020-05-08,79
2020-05-09,84
2020-05-10,87
2020-05-11,80
2020-05-12,113
2020-05-13,118
2020-05-14,114
2020-05-15,124
2020-05-16,127
2020-05-17,131
2020-05-18,116
2020-05-19,134
2020-05-20,143
2020-05-21,148
2020-05-22,159
2020-05-23,212
2020-05-24,211
2020-05-25,220
2020-05-26,229
2020-05-27,239
2020-05-28,239
2020-05-29,306
2020-05-30,306
2020-05-31,318
2020-06-01,328
2020-06-02,326
2020-06-03,339
2020-06-04,354
2020-06-05,337
2020-06-06,353
2020-06-07,372
2020-06-08,380
2020-06-09,364
2020-06-10,365
2020-06-11,386
2020-06-12,372
2020-06-13,377
2020-06-14,399
2020-06-15,385
2020-06-16,376
2020-06-17,369
2020-06-18,399
2020-06-19,395
2020-06-20,416
2020-06-21,393
2020-06-22,403
2020-06-23,392
2020-06-24,424
2020-06-25,427
2020-06-26,437
2020-06-27,419
2020-06-28,400
2020-06-29,401
2020-06-30,398
2020-07-01,407
2020-07-02,405
2020-07-03,420
2020-07-04,404
2020-07-05,385
2020-07-06,377
2020-07-07,381
2020-07-08,375
2020-07-09,384
2020-07-10,371
2020-07-11,365
2020-07-12,350
2020-07-13,341
2020-07-14,342
2020-07-15,341
2020-07-16,314
2020-07-17,327
2020-07-18,301
2020-07-19,303
2020-07-20,276
2020-07-21,264
2020-07-22,263
2020-07-23,258
2020-07-24,239
2020-07-25,245
2020-07-26,253
2020-07-27,250
2020-07-28,233
2020-07-29,228
2020-07-30,228
2020-07-31,232
2020-08-01,226
2020-08-02,234
2020-08-03,235
2020-08-04,227
2020-08-05,227
2020-08-06,217
2020-08-07,233
2020-08-08,217
2020-08-09,210
2020-08-10,203
2020-08-11,211
2020-08-12,197
2020-08-13,203
2020-08-14,207
2020-08-15,196
2020-08-16,185
2020-08-17,191
2020-08-18,184
2020-08-19,176
2020-08-20,175
2020-08-21,174
2020-08-22,166
2020-08-23,149
2020-08-24,140
2020-08-25,144
2020-08-26,148
2020-08-27,135
2020-08-28,142
2020-08-29,131
