Casos,Fecha,Casos confirmados
Pacientes VMI,2020-04-11,322.0
Pacientes no VM,2020-04-11,
Pacientes VM no invasiva,2020-04-11,
Pacientes VMI,2020-04-12,328.0
Pacientes no VM,2020-04-12,
Pacientes VM no invasiva,2020-04-12,
Pacientes VMI,2020-04-13,330.0
Pacientes no VM,2020-04-13,
Pacientes VM no invasiva,2020-04-13,
Pacientes VMI,2020-04-14,315.0
Pacientes no VM,2020-04-14,
Pacientes VM no invasiva,2020-04-14,
Pacientes VMI,2020-04-15,315.0
Pacientes no VM,2020-04-15,
Pacientes VM no invasiva,2020-04-15,
Pacientes VMI,2020-04-16,313.0
Pacientes no VM,2020-04-16,
Pacientes VM no invasiva,2020-04-16,
Pacientes VMI,2020-04-17,316.0
Pacientes no VM,2020-04-17,
Pacientes VM no invasiva,2020-04-17,
Pacientes VMI,2020-04-18,296.0
Pacientes no VM,2020-04-18,
Pacientes VM no invasiva,2020-04-18,
Pacientes VMI,2020-04-19,312.0
Pacientes no VM,2020-04-19,
Pacientes VM no invasiva,2020-04-19,
Pacientes VMI,2020-04-20,296.0
Pacientes no VM,2020-04-20,
Pacientes VM no invasiva,2020-04-20,
Pacientes VMI,2020-04-21,303.0
Pacientes no VM,2020-04-21,
Pacientes VM no invasiva,2020-04-21,
Pacientes VMI,2020-04-22,309.0
Pacientes no VM,2020-04-22,
Pacientes VM no invasiva,2020-04-22,
Pacientes VMI,2020-04-23,316.0
Pacientes no VM,2020-04-23,
Pacientes VM no invasiva,2020-04-23,
Pacientes VMI,2020-04-24,325.0
Pacientes no VM,2020-04-24,
Pacientes VM no invasiva,2020-04-24,
Pacientes VMI,2020-04-25,321.0
Pacientes no VM,2020-04-25,
Pacientes VM no invasiva,2020-04-25,
Pacientes VMI,2020-04-26,319.0
Pacientes no VM,2020-04-26,
Pacientes VM no invasiva,2020-04-26,
Pacientes VMI,2020-04-27,325.0
Pacientes no VM,2020-04-27,
Pacientes VM no invasiva,2020-04-27,
Pacientes VMI,2020-04-28,317.0
Pacientes no VM,2020-04-28,
Pacientes VM no invasiva,2020-04-28,
Pacientes VMI,2020-04-29,310.0
Pacientes no VM,2020-04-29,
Pacientes VM no invasiva,2020-04-29,
Pacientes VMI,2020-04-30,323.0
Pacientes no VM,2020-04-30,
Pacientes VM no invasiva,2020-04-30,
Pacientes VMI,2020-05-01,327.0
Pacientes no VM,2020-05-01,
Pacientes VM no invasiva,2020-05-01,
Pacientes VMI,2020-05-02,324.0
Pacientes no VM,2020-05-02,
Pacientes VM no invasiva,2020-05-02,
Pacientes VMI,2020-05-03,339.0
Pacientes no VM,2020-05-03,
Pacientes VM no invasiva,2020-05-03,
Pacientes VMI,2020-05-04,354.0
Pacientes no VM,2020-05-04,
Pacientes VM no invasiva,2020-05-04,
Pacientes VMI,2020-05-05,356.0
Pacientes no VM,2020-05-05,
Pacientes VM no invasiva,2020-05-05,
Pacientes VMI,2020-05-06,385.0
Pacientes no VM,2020-05-06,
Pacientes VM no invasiva,2020-05-06,
Pacientes VMI,2020-05-07,391.0
Pacientes no VM,2020-05-07,
Pacientes VM no invasiva,2020-05-07,
Pacientes VMI,2020-05-08,419.0
Pacientes no VM,2020-05-08,
Pacientes VM no invasiva,2020-05-08,
Pacientes VMI,2020-05-09,445.0
Pacientes no VM,2020-05-09,
Pacientes VM no invasiva,2020-05-09,
Pacientes VMI,2020-05-10,470.0
Pacientes no VM,2020-05-10,
Pacientes VM no invasiva,2020-05-10,
Pacientes VMI,2020-05-11,474.0
Pacientes no VM,2020-05-11,
Pacientes VM no invasiva,2020-05-11,
Pacientes VMI,2020-05-12,494.0
Pacientes no VM,2020-05-12,
Pacientes VM no invasiva,2020-05-12,
Pacientes VMI,2020-05-13,538.0
Pacientes no VM,2020-05-13,
Pacientes VM no invasiva,2020-05-13,
Pacientes VMI,2020-05-14,555.0
Pacientes no VM,2020-05-14,
Pacientes VM no invasiva,2020-05-14,
Pacientes VMI,2020-05-15,584.0
Pacientes no VM,2020-05-15,
Pacientes VM no invasiva,2020-05-15,
Pacientes VMI,2020-05-16,624.0
Pacientes no VM,2020-05-16,
Pacientes VM no invasiva,2020-05-16,
Pacientes VMI,2020-05-17,627.0
Pacientes no VM,2020-05-17,
Pacientes VM no invasiva,2020-05-17,
Pacientes VMI,2020-05-18,670.0
Pacientes no VM,2020-05-18,
Pacientes VM no invasiva,2020-05-18,
Pacientes VMI,2020-05-19,728.0
Pacientes no VM,2020-05-19,
Pacientes VM no invasiva,2020-05-19,
Pacientes VMI,2020-05-20,758.0
Pacientes no VM,2020-05-20,
Pacientes VM no invasiva,2020-05-20,
Pacientes VMI,2020-05-21,795.0
Pacientes no VM,2020-05-21,
Pacientes VM no invasiva,2020-05-21,
Pacientes VMI,2020-05-22,850.0
Pacientes no VM,2020-05-22,
Pacientes VM no invasiva,2020-05-22,
Pacientes VMI,2020-05-23,900.0
Pacientes no VM,2020-05-23,
Pacientes VM no invasiva,2020-05-23,
Pacientes VMI,2020-05-24,942.0
Pacientes no VM,2020-05-24,116.0
Pacientes VM no invasiva,2020-05-24,32.0
Pacientes VMI,2020-05-25,989.0
Pacientes no VM,2020-05-25,115.0
Pacientes VM no invasiva,2020-05-25,31.0
Pacientes VMI,2020-05-26,1029.0
Pacientes no VM,2020-05-26,140.0
Pacientes VM no invasiva,2020-05-26,33.0
Pacientes VMI,2020-05-27,1048.0
Pacientes no VM,2020-05-27,159.0
Pacientes VM no invasiva,2020-05-27,44.0
Pacientes VMI,2020-05-28,1079.0
Pacientes no VM,2020-05-28,156.0
Pacientes VM no invasiva,2020-05-28,54.0
Pacientes VMI,2020-05-29,1143.0
Pacientes no VM,2020-05-29,162.0
Pacientes VM no invasiva,2020-05-29,45.0
Pacientes VMI,2020-05-30,1151.0
Pacientes no VM,2020-05-30,173.0
Pacientes VM no invasiva,2020-05-30,47.0
Pacientes VMI,2020-05-31,1174.0
Pacientes no VM,2020-05-31,158.0
Pacientes VM no invasiva,2020-05-31,51.0
Pacientes VMI,2020-06-01,1209.0
Pacientes no VM,2020-06-01,179.0
Pacientes VM no invasiva,2020-06-01,58.0
Pacientes VMI,2020-06-02,1202.0
Pacientes no VM,2020-06-02,189.0
Pacientes VM no invasiva,2020-06-02,60.0
Pacientes VMI,2020-06-03,1218.0
Pacientes no VM,2020-06-03,196.0
Pacientes VM no invasiva,2020-06-03,61.0
Pacientes VMI,2020-06-04,1261.0
Pacientes no VM,2020-06-04,182.0
Pacientes VM no invasiva,2020-06-04,53.0
Pacientes VMI,2020-06-05,1291.0
Pacientes no VM,2020-06-05,180.0
Pacientes VM no invasiva,2020-06-05,50.0
Pacientes VMI,2020-06-06,1294.0
Pacientes no VM,2020-06-06,180.0
Pacientes VM no invasiva,2020-06-06,50.0
Pacientes VMI,2020-06-07,1336.0
Pacientes no VM,2020-06-07,168.0
Pacientes VM no invasiva,2020-06-07,54.0
Pacientes VMI,2020-06-08,1333.0
Pacientes no VM,2020-06-08,189.0
Pacientes VM no invasiva,2020-06-08,59.0
Pacientes VMI,2020-06-09,1325.0
Pacientes no VM,2020-06-09,183.0
Pacientes VM no invasiva,2020-06-09,69.0
Pacientes VMI,2020-06-10,1354.0
Pacientes no VM,2020-06-10,168.0
Pacientes VM no invasiva,2020-06-10,68.0
Pacientes VMI,2020-06-11,1379.0
Pacientes no VM,2020-06-11,175.0
Pacientes VM no invasiva,2020-06-11,64.0
Pacientes VMI,2020-06-12,1391.0
Pacientes no VM,2020-06-12,184.0
Pacientes VM no invasiva,2020-06-12,72.0
Pacientes VMI,2020-06-13,1408.0
Pacientes no VM,2020-06-13,173.0
Pacientes VM no invasiva,2020-06-13,75.0
Pacientes VMI,2020-06-14,1465.0
Pacientes no VM,2020-06-14,175.0
Pacientes VM no invasiva,2020-06-14,75.0
Pacientes VMI,2020-06-15,1463.0
Pacientes no VM,2020-06-15,186.0
Pacientes VM no invasiva,2020-06-15,74.0
Pacientes VMI,2020-06-16,1470.0
Pacientes no VM,2020-06-16,181.0
Pacientes VM no invasiva,2020-06-16,76.0
Pacientes VMI,2020-06-17,1529.0
Pacientes no VM,2020-06-17,184.0
Pacientes VM no invasiva,2020-06-17,81.0
Pacientes VMI,2020-06-18,1572.0
Pacientes no VM,2020-06-18,187.0
Pacientes VM no invasiva,2020-06-18,86.0
Pacientes VMI,2020-06-19,1645.0
Pacientes no VM,2020-06-19,190.0
Pacientes VM no invasiva,2020-06-19,76.0
Pacientes VMI,2020-06-20,1682.0
Pacientes no VM,2020-06-20,194.0
Pacientes VM no invasiva,2020-06-20,75.0
Pacientes VMI,2020-06-21,1713.0
Pacientes no VM,2020-06-21,197.0
Pacientes VM no invasiva,2020-06-21,86.0
Pacientes VMI,2020-06-22,1726.0
Pacientes no VM,2020-06-22,196.0
Pacientes VM no invasiva,2020-06-22,92.0
Pacientes VMI,2020-06-23,1720.0
Pacientes no VM,2020-06-23,195.0
Pacientes VM no invasiva,2020-06-23,94.0
Pacientes VMI,2020-06-24,1742.0
Pacientes no VM,2020-06-24,208.0
Pacientes VM no invasiva,2020-06-24,96.0
Pacientes VMI,2020-06-25,1751.0
Pacientes no VM,2020-06-25,227.0
Pacientes VM no invasiva,2020-06-25,100.0
Pacientes VMI,2020-06-26,1772.0
Pacientes no VM,2020-06-26,219.0
Pacientes VM no invasiva,2020-06-26,95.0
Pacientes VMI,2020-06-27,1741.0
Pacientes no VM,2020-06-27,229.0
Pacientes VM no invasiva,2020-06-27,120.0
Pacientes VMI,2020-06-28,1793.0
Pacientes no VM,2020-06-28,210.0
Pacientes VM no invasiva,2020-06-28,126.0
Pacientes VMI,2020-06-29,1763.0
Pacientes no VM,2020-06-29,217.0
Pacientes VM no invasiva,2020-06-29,110.0
Pacientes VMI,2020-06-30,1756.0
Pacientes no VM,2020-06-30,226.0
Pacientes VM no invasiva,2020-06-30,124.0
Pacientes VMI,2020-07-01,1720.0
Pacientes no VM,2020-07-01,244.0
Pacientes VM no invasiva,2020-07-01,111.0
Pacientes VMI,2020-07-02,1762.0
Pacientes no VM,2020-07-02,233.0
Pacientes VM no invasiva,2020-07-02,104.0
Pacientes VMI,2020-07-03,1757.0
Pacientes no VM,2020-07-03,233.0
Pacientes VM no invasiva,2020-07-03,117.0
Pacientes VMI,2020-07-04,1731.0
Pacientes no VM,2020-07-04,227.0
Pacientes VM no invasiva,2020-07-04,119.0
Pacientes VMI,2020-07-05,1736.0
Pacientes no VM,2020-07-05,221.0
Pacientes VM no invasiva,2020-07-05,121.0
Pacientes VMI,2020-07-06,1747.0
Pacientes no VM,2020-07-06,192.0
Pacientes VM no invasiva,2020-07-06,130.0
Pacientes VMI,2020-07-07,1699.0
Pacientes no VM,2020-07-07,222.0
Pacientes VM no invasiva,2020-07-07,139.0
Pacientes VMI,2020-07-08,1712.0
Pacientes no VM,2020-07-08,228.0
Pacientes VM no invasiva,2020-07-08,113.0
Pacientes VMI,2020-07-09,1670.0
Pacientes no VM,2020-07-09,222.0
Pacientes VM no invasiva,2020-07-09,107.0
Pacientes VMI,2020-07-10,1648.0
Pacientes no VM,2020-07-10,238.0
Pacientes VM no invasiva,2020-07-10,104.0
Pacientes VMI,2020-07-11,1653.0
Pacientes no VM,2020-07-11,241.0
Pacientes VM no invasiva,2020-07-11,105.0
Pacientes VMI,2020-07-12,1669.0
Pacientes no VM,2020-07-12,224.0
Pacientes VM no invasiva,2020-07-12,102.0
Pacientes VMI,2020-07-13,1613.0
Pacientes no VM,2020-07-13,215.0
Pacientes VM no invasiva,2020-07-13,103.0
Pacientes VMI,2020-07-14,1596.0
Pacientes no VM,2020-07-14,208.0
Pacientes VM no invasiva,2020-07-14,111.0
Pacientes VMI,2020-07-15,1573.0
Pacientes no VM,2020-07-15,196.0
Pacientes VM no invasiva,2020-07-15,109.0
Pacientes VMI,2020-07-16,1516.0
Pacientes no VM,2020-07-16,196.0
Pacientes VM no invasiva,2020-07-16,109.0
Pacientes VMI,2020-07-17,1502.0
Pacientes no VM,2020-07-17,192.0
Pacientes VM no invasiva,2020-07-17,102.0
Pacientes VMI,2020-07-18,1465.0
Pacientes no VM,2020-07-18,224.0
Pacientes VM no invasiva,2020-07-18,103.0
Pacientes VMI,2020-07-19,1459.0
Pacientes no VM,2020-07-19,204.0
Pacientes VM no invasiva,2020-07-19,101.0
Pacientes VMI,2020-07-20,1469.0
Pacientes no VM,2020-07-20,192.0
Pacientes VM no invasiva,2020-07-20,92.0
Pacientes VMI,2020-07-21,1415.0
Pacientes no VM,2020-07-21,222.0
Pacientes VM no invasiva,2020-07-21,91.0
