Semana,Inicio_semana,Fin_semana,Origen,Cod_region_origen,Region_origen,Destino,Cod_region_destino,Region_destino,Operaciones,Pasajeros
1,2020-01-01,2020-01-05,Antofagasta,2,Antofagasta,Arica,15,Arica y Parinacota,2.0,224.0
2,2020-01-06,2020-01-12,Antofagasta,2,Antofagasta,Arica,15,Arica y Parinacota,3.0,330.0
3,2020-01-13,2020-01-19,Antofagasta,2,Antofagasta,Arica,15,Arica y Parinacota,4.0,453.0
4,2020-01-20,2020-01-26,Antofagasta,2,Antofagasta,Arica,15,Arica y Parinacota,3.0,393.0
5,2020-01-27,2020-02-02,Antofagasta,2,Antofagasta,Arica,15,Arica y Parinacota,2.0,276.0
5,2020-01-27,2020-02-02,Antofagasta,2,Antofagasta,Arica,15,Arica y Parinacota,1.0,157.0
6,2020-02-03,2020-02-09,Antofagasta,2,Antofagasta,Arica,15,Arica y Parinacota,4.0,594.0
7,2020-02-10,2020-02-16,Antofagasta,2,Antofagasta,Arica,15,Arica y Parinacota,4.0,542.0
8,2020-02-17,2020-02-23,Antofagasta,2,Antofagasta,Arica,15,Arica y Parinacota,4.0,446.0
9,2020-02-24,2020-03-01,Antofagasta,2,Antofagasta,Arica,15,Arica y Parinacota,4.0,332.0
10,2020-03-02,2020-03-08,Antofagasta,2,Antofagasta,Arica,15,Arica y Parinacota,2.0,196.0
11,2020-03-09,2020-03-15,Antofagasta,2,Antofagasta,Arica,15,Arica y Parinacota,2.0,158.0
12,2020-03-16,2020-03-22,Antofagasta,2,Antofagasta,Arica,15,Arica y Parinacota,1.0,74.0
13,2020-03-23,2020-03-29,Antofagasta,2,Antofagasta,Arica,15,Arica y Parinacota,1.0,114.0
17,2020-04-20,2020-04-26,Antofagasta,2,Antofagasta,Arica,15,Arica y Parinacota,1.0,27.0
32,2020-08-03,2020-08-09,Antofagasta,2,Antofagasta,Arica,15,Arica y Parinacota,1.0,75.0
33,2020-08-10,2020-08-16,Antofagasta,2,Antofagasta,Arica,15,Arica y Parinacota,1.0,57.0
14,2020-03-30,2020-04-05,Calama,2,Antofagasta,Arica,15,Arica y Parinacota,1.0,42.0
26,2020-06-22,2020-06-28,Calama,2,Antofagasta,Arica,15,Arica y Parinacota,1.0,6.0
32,2020-08-03,2020-08-09,Calama,2,Antofagasta,Arica,15,Arica y Parinacota,2.0,107.0
33,2020-08-10,2020-08-16,Calama,2,Antofagasta,Arica,15,Arica y Parinacota,2.0,104.0
34,2020-08-17,2020-08-23,Calama,2,Antofagasta,Arica,15,Arica y Parinacota,1.0,71.0
1,2020-01-01,2020-01-05,Concepción,8,Biobío,Arica,15,Arica y Parinacota,2.0,256.0
2,2020-01-06,2020-01-12,Concepción,8,Biobío,Arica,15,Arica y Parinacota,3.0,456.0
3,2020-01-13,2020-01-19,Concepción,8,Biobío,Arica,15,Arica y Parinacota,3.0,486.0
4,2020-01-20,2020-01-26,Concepción,8,Biobío,Arica,15,Arica y Parinacota,3.0,494.0
5,2020-01-27,2020-02-02,Concepción,8,Biobío,Arica,15,Arica y Parinacota,2.0,330.0
5,2020-01-27,2020-02-02,Concepción,8,Biobío,Arica,15,Arica y Parinacota,1.0,168.0
6,2020-02-03,2020-02-09,Concepción,8,Biobío,Arica,15,Arica y Parinacota,3.0,479.0
7,2020-02-10,2020-02-16,Concepción,8,Biobío,Arica,15,Arica y Parinacota,3.0,477.0
8,2020-02-17,2020-02-23,Concepción,8,Biobío,Arica,15,Arica y Parinacota,3.0,445.0
9,2020-02-24,2020-03-01,Concepción,8,Biobío,Arica,15,Arica y Parinacota,3.0,389.0
