Region,Codigo region,Comuna,Codigo comuna,Poblacion
Arica y Parinacota,15,Arica,15101,247552
Arica y Parinacota,15,Camarones,15102,1233
Arica y Parinacota,15,General Lagos,15202,810
Arica y Parinacota,15,Putre,15201,2515
Arica y Parinacota,15,Desconocido Arica y Parinacota,,
Arica y Parinacota,15,Total,,252110
,,,,
Tarapaca,1,Alto Hospicio,1107,129999
Tarapaca,1,Camina,1402,1375
Tarapaca,1,Colchane,1403,1583
Tarapaca,1,Huara,1404,3000
Tarapaca,1,Iquique,1101,223463
Tarapaca,1,Pica,1405,5958
Tarapaca,1,Pozo Almonte,1401,17395
Tarapaca,1,Desconocido Tarapaca,,
Tarapaca,1,Total,,382773
,,,,
Antofagasta,2,Antofagasta,2101,425725
Antofagasta,2,Calama,2201,190336
Antofagasta,2,Maria Elena,2302,6814
Antofagasta,2,Mejillones,2102,14776
Antofagasta,2,Ollague,2202,287
Antofagasta,2,San Pedro de Atacama,2203,10434
Antofagasta,2,Sierra Gorda,2103,1746
Antofagasta,2,Taltal,2104,13657
Antofagasta,2,Tocopilla,2301,28079
Antofagasta,2,Desconocido Antofagasta,,
Antofagasta,2,Total,,691854
,,,,
Atacama,3,Alto del Carmen,3302,5729
Atacama,3,Caldera,3102,19426
Atacama,3,Chanaral,3201,13164
Atacama,3,Copiapo,3101,171766
Atacama,3,Diego de Almagro,3202,14358
Atacama,3,Freirina,3303,7681
Atacama,3,Huasco,3304,11264
Atacama,3,Tierra Amarilla,3103,14312
Atacama,3,Vallenar,3301,57009
Atacama,3,Desconocido Atacama,,
Atacama,3,Total,,314709
,,,,
Coquimbo,4,Andacollo,4103,11791
Coquimbo,4,Canela,4202,9546
Coquimbo,4,Combarbala,4302,13884
Coquimbo,4,Coquimbo,4102,256735
Coquimbo,4,Illapel,4201,32801
Coquimbo,4,La Higuera,4104,4450
Coquimbo,4,La Serena,4101,249656
Coquimbo,4,Los Vilos,4203,23374
Coquimbo,4,Monte Patria,4303,32527
Coquimbo,4,Ovalle,4301,121269
Coquimbo,4,Paiguano,4105,4675
Coquimbo,4,Punitaqui,4304,12165
Coquimbo,4,Rio Hurtado,4305,4372
Coquimbo,4,Salamanca,4204,29110
Coquimbo,4,Vicuna,4106,29741
Coquimbo,4,Desconocido Coquimbo,,
Coquimbo,4,Total,,836096
,,,,
Valparaiso,5,Algarrobo,5602,15174
Valparaiso,5,Cabildo,5402,20663
Valparaiso,5,Calera,5502,53591
Valparaiso,5,Calle Larga,5302,16482
Valparaiso,5,Cartagena,5603,25357
Valparaiso,5,Casablanca,5102,29170
Valparaiso,5,Catemu,5702,15213
Valparaiso,5,Concon,5103,45889
Valparaiso,5,El Quisco,5604,17742
Valparaiso,5,El Tabo,5605,14338
Valparaiso,5,Hijuelas,5503,19099
Valparaiso,5,Isla de Pascua,5201,8277
Valparaiso,5,Juan Fernandez,5104,1033
Valparaiso,5,La Cruz,5504,25321
Valparaiso,5,La Ligua,5401,37739
Valparaiso,5,Limache,5802,49931
Valparaiso,5,Llaillay,5703,26533
Valparaiso,5,Los Andes,5301,68093
Valparaiso,5,Nogales,5506,23490
Valparaiso,5,Olmue,5803,19266
Valparaiso,5,Panquehue,5704,7633
Valparaiso,5,Papudo,5403,6201
Valparaiso,5,Petorca,5404,10558
Valparaiso,5,Puchuncavi,5105,20071
Valparaiso,5,Putaendo,5705,17645
Valparaiso,5,Quillota,5501,97572
Valparaiso,5,Quilpue,5801,167085
Valparaiso,5,Quintero,5107,36135
Valparaiso,5,Rinconada,5303,11263
Valparaiso,5,San Antonio,5601,96761
Valparaiso,5,San Esteban,5304,20643
Valparaiso,5,San Felipe,5701,83494
Valparaiso,5,Santa Maria,5706,16367
Valparaiso,5,Santo Domingo,5606,11934
Valparaiso,5,Valparaiso,5101,315732
Valparaiso,5,Villa Alemana,5804,139310
Valparaiso,5,Vina del Mar,5109,361371
Valparaiso,5,Zapallar,5405,7994
Valparaiso,5,Desconocido Valparaiso,,
Valparaiso,5,Total,,1960170
,,,,
Metropolitana,13,Alhue,13502,7405
Metropolitana,13,Buin,13402,109641
Metropolitana,13,Calera de Tango,13403,28525
Metropolitana,13,Cerrillos,13102,88956
Metropolitana,13,Cerro Navia,13103,142465
Metropolitana,13,Colina,13301,180353
Metropolitana,13,Conchali,13104,139195
Metropolitana,13,Curacavi,13503,36430
Metropolitana,13,El Bosque,13105,172000
Metropolitana,13,El Monte,13602,40014
Metropolitana,13,Estacion Central,13106,206792
Metropolitana,13,Huechuraba,13107,112528
Metropolitana,13,Independencia,13108,142065
Metropolitana,13,Isla de Maipo,13603,40171
Metropolitana,13,La Cisterna,13109,100434
Metropolitana,13,La Florida,13110,402433
Metropolitana,13,La Granja,13111,122557
Metropolitana,13,La Pintana,13112,189335
Metropolitana,13,La Reina,13113,100252
Metropolitana,13,Lampa,13302,126898
Metropolitana,13,Las Condes,13114,330759
Metropolitana,13,Lo Barnechea,13115,124076
Metropolitana,13,Lo Espejo,13116,103865
Metropolitana,13,Lo Prado,13117,104403
Metropolitana,13,Macul,13118,134635
Metropolitana,13,Maipu,13119,578605
Metropolitana,13,Maria Pinto,13504,14926
Metropolitana,13,Melipilla,13501,141612
Metropolitana,13,Nunoa,13120,250192
Metropolitana,13,Padre Hurtado,13604,74188
Metropolitana,13,Paine,13404,82766
Metropolitana,13,Pedro Aguirre Cerda,13121,107803
Metropolitana,13,Penaflor,13605,101058
Metropolitana,13,Penalolen,13122,266798
Metropolitana,13,Pirque,13202,30433
Metropolitana,13,Providencia,13123,157749
Metropolitana,13,Pudahuel,13124,253139
Metropolitana,13,Puente Alto,13201,645909
Metropolitana,13,Quilicura,13125,254694
Metropolitana,13,Quinta Normal,13126,136368
Metropolitana,13,Recoleta,13127,190075
Metropolitana,13,Renca,13128,160847
Metropolitana,13,San Bernardo,13401,334836
Metropolitana,13,San Joaquin,13129,103485
Metropolitana,13,San Jose de Maipo,13203,18644
Metropolitana,13,San Miguel,13130,133059
Metropolitana,13,San Pedro,13505,11953
Metropolitana,13,San Ramon,13131,86510
Metropolitana,13,Santiago,13101,503147
Metropolitana,13,Talagante,13601,81838
Metropolitana,13,Tiltil,13303,21477
Metropolitana,13,Vitacura,13132,96774
Metropolitana,13,Desconocido Metropolitana,,
Metropolitana,13,Total,,8125072
,,,,
Del Libertador General Bernardo O’Higgins,6,Chepica,6302,15925
Del Libertador General Bernardo O’Higgins,6,Chimbarongo,6303,37696
Del Libertador General Bernardo O’Higgins,6,Codegua,6102,14096
Del Libertador General Bernardo O’Higgins,6,Coinco,6103,7831
Del Libertador General Bernardo O’Higgins,6,Coltauco,6104,21263
Del Libertador General Bernardo O’Higgins,6,Donihue,6105,22700
Del Libertador General Bernardo O’Higgins,6,Graneros,6106,36504
Del Libertador General Bernardo O’Higgins,6,La Estrella,6202,3114
Del Libertador General Bernardo O’Higgins,6,Las Cabras,6107,26749
Del Libertador General Bernardo O’Higgins,6,Litueche,6203,6765
Del Libertador General Bernardo O’Higgins,6,Lolol,6304,7289
Del Libertador General Bernardo O’Higgins,6,Machali,6108,59913
Del Libertador General Bernardo O’Higgins,6,Malloa,6109,14163
Del Libertador General Bernardo O’Higgins,6,Marchihue,6204,7632
Del Libertador General Bernardo O’Higgins,6,Mostazal,6110,27462
Del Libertador General Bernardo O’Higgins,6,Nancagua,6305,19141
Del Libertador General Bernardo O’Higgins,6,Navidad,6205,6904
Del Libertador General Bernardo O’Higgins,6,Olivar,6111,14624
Del Libertador General Bernardo O’Higgins,6,Palmilla,6306,13299
Del Libertador General Bernardo O’Higgins,6,Paredones,6206,6349
Del Libertador General Bernardo O’Higgins,6,Peralillo,6307,11848
Del Libertador General Bernardo O’Higgins,6,Peumo,6112,14952
Del Libertador General Bernardo O’Higgins,6,Pichidegua,6113,20743
Del Libertador General Bernardo O’Higgins,6,Pichilemu,6201,17882
Del Libertador General Bernardo O’Higgins,6,Placilla,6308,9164
Del Libertador General Bernardo O’Higgins,6,Pumanque,6309,3531
Del Libertador General Bernardo O’Higgins,6,Quinta de Tilcoco,6114,13877
Del Libertador General Bernardo O’Higgins,6,Rancagua,6101,265211
Del Libertador General Bernardo O’Higgins,6,Rengo,6115,63710
Del Libertador General Bernardo O’Higgins,6,Requinoa,6116,30371
Del Libertador General Bernardo O’Higgins,6,San Fernando,6301,78642
Del Libertador General Bernardo O’Higgins,6,San Vicente,6117,50617
Del Libertador General Bernardo O’Higgins,6,Santa Cruz,6310,41096
Del Libertador General Bernardo O’Higgins,6,Desconocido O’Higgins,,
Del Libertador General Bernardo O’Higgins,6,Total,,991063
,,,,
Maule,7,Cauquenes,7201,44143
Maule,7,Chanco,7202,9331
Maule,7,Colbun,7402,22565
Maule,7,Constitucion,7102,50348
Maule,7,Curepto,7103,9426
Maule,7,Curico,7301,163626
Maule,7,Empedrado,7104,4206
Maule,7,Hualane,7302,10222
Maule,7,Licanten,7303,6989
Maule,7,Linares,7401,101073
Maule,7,Longavi,7403,32810
Maule,7,Maule,7105,60000
Maule,7,Molina,7304,49800
Maule,7,Parral,7404,44544
Maule,7,Pelarco,7106,9083
Maule,7,Pelluhue,7203,8092
Maule,7,Pencahue,7107,8601
Maule,7,Rauco,7305,11248
Maule,7,Retiro,7405,21071
Maule,7,Rio Claro,7108,14753
Maule,7,Romeral,7306,16170
Maule,7,Sagrada Familia,7307,19469
Maule,7,San Clemente,7109,46292
Maule,7,San Javier,7406,49451
Maule,7,San Rafael,7110,9959
Maule,7,Talca,7101,236724
Maule,7,Teno,7308,30850
Maule,7,Vichuquen,7309,4381
Maule,7,Villa Alegre,7407,17512
Maule,7,Yerbas Buenas,7408,19200
Maule,7,Desconocido Maule,,
Maule,7,Total,,1131939
,,,,
Nuble,16,Bulnes,16102,22607
Nuble,16,Chillan,16101,198624
Nuble,16,Chillan Viejo,16103,33827
Nuble,16,Cobquecura,16202,5275
Nuble,16,Coelemu,16203,16845
Nuble,16,Coihueco,16302,28375
Nuble,16,El Carmen,16104,12334
Nuble,16,Ninhue,16204,5414
Nuble,16,Niquen,16303,11567
Nuble,16,Pemuco,16105,8639
Nuble,16,Pinto,16106,11880
Nuble,16,Portezuelo,16205,4940
Nuble,16,Quillon,16107,18777
Nuble,16,Quirihue,16201,12192
Nuble,16,Ranquil,16206,6261
Nuble,16,San Carlos,16301,56252
Nuble,16,San Fabian,16304,4654
Nuble,16,San Ignacio,16108,16624
Nuble,16,San Nicolas,16305,12172
Nuble,16,Treguaco,16207,5696
Nuble,16,Yungay,16109,18596
Nuble,16,Desconocido Nuble,,
Nuble,16,Total,,511551
,,,,
Biobio,8,Alto Biobio,8314,6775
Biobio,8,Antuco,8302,4306
Biobio,8,Arauco,8202,38679
Biobio,8,Cabrero,8303,30725
Biobio,8,Canete,8203,37003
Biobio,8,Chiguayante,8103,91180
Biobio,8,Concepcion,8101,238092
Biobio,8,Contulmo,8204,6330
Biobio,8,Coronel,8102,125829
Biobio,8,Curanilahue,8205,33892
Biobio,8,Florida,8104,11841
Biobio,8,Hualpen,8112,97273
Biobio,8,Hualqui,8105,26201
Biobio,8,Laja,8304,23873
Biobio,8,Lebu,8201,27100
Biobio,8,Los Alamos,8206,22524
Biobio,8,Los Angeles,8301,218515
Biobio,8,Lota,8106,45750
Biobio,8,Mulchen,8305,31041
Biobio,8,Nacimiento,8306,27944
Biobio,8,Negrete,8307,10429
Biobio,8,Penco,8107,49865
Biobio,8,Quilaco,8308,4179
Biobio,8,Quilleco,8309,10032
Biobio,8,San Pedro de la Paz,8108,145906
Biobio,8,San Rosendo,8310,3611
Biobio,8,Santa Barbara,8311,14592
Biobio,8,Santa Juana,8109,14779
Biobio,8,Talcahuano,8110,158345
Biobio,8,Tirua,8207,11019
Biobio,8,Tome,8111,58729
Biobio,8,Tucapel,8312,15205
Biobio,8,Yumbel,8313,22132
Biobio,8,Desconocido Biobio,,
Biobio,8,Total,,1663696
,,,,
La Araucania,9,Angol,9201,56058
La Araucania,9,Carahue,9102,25486
La Araucania,9,Cholchol,9121,12341
La Araucania,9,Collipulli,9202,26148
La Araucania,9,Cunco,9103,18055
La Araucania,9,Curacautin,9203,18178
La Araucania,9,Curarrehue,9104,7802
La Araucania,9,Ercilla,9204,8458
