Grupo de edad,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-05-02,2020-05-04,2020-05-06,2020-05-08
< 1 años,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,
1  4 años,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
5  14 años,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,
15  44 años,124.0,143.0,164.0,183.0,187.0,190.0,193.0,196.0,,,,,,,,,,,
45  64 años,179.0,196.0,234.0,270.0,284.0,290.0,292.0,292.0,,,,,,,,,,,
65 y más años,144.0,156.0,162.0,187.0,196.0,197.0,200.0,216.0,,,,,,,,,,,
00  5 años,,,,,,,,,3.0,4.0,5.0,5.0,6.0,7.0,7.0,9.0,11.0,11.0,11.0
5  17 años,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0
18  49 años,,,,,,,,,253.0,260.0,261.0,264.0,264.0,264.0,269.0,339.0,344.0,357.0,402.0
50  59 años,,,,,,,,,168.0,172.0,173.0,175.0,179.0,180.0,182.0,229.0,238.0,245.0,269.0
60  69 años,,,,,,,,,159.0,161.0,163.0,167.0,167.0,172.0,174.0,207.0,215.0,220.0,252.0
70  79 años,,,,,,,,,114.0,114.0,114.0,115.0,117.0,119.0,122.0,140.0,148.0,157.0,172.0
80 y más años,,,,,,,,,36.0,40.0,40.0,44.0,43.0,43.0,43.0,51.0,51.0,56.0,59.0
