ID,Nombre,Estado,Alcance,Fecha de Inicio,Fecha de Término,Código CUT Comuna,Detalle,Superficie en m2,Perímetro en m
1,Arica,Histórica,Área Urbana Completa,2020-04-16 22:00:00,2020-05-15 22:00:00,15101,Corresponde al Radio Urbano de la Ciudad de Arica incluyendo la población San Miguel de Azapa,28050418.8017578,48722.3000133714
2,Santiago Norte,Histórica,Sector Específico,2020-04-13 05:00:00,2020-05-05 22:00:00,13101,Corresponde a la extensión de la cuarentena en la comuna de Santiago con límite en la línea contínua de las calles Av.Matta y Blanco Encalada,19939218.5703125,21599.3513430565
3,Puente Alto Poniente,Histórica,Sector Específico,2020-04-09 22:00:00,2020-05-08 22:00:00,13201,Corresponde al sector delimitado por la Av. Concha y Toro hacia el poniente. Se extiende posterior al término hacia el oriente hasta el Canal San Carlos,42364268.2128906,30428.0515226124
5,San Bernardo Nororiente,Histórica,Sector Específico,2020-04-16 22:00:00,2020-05-08 22:00:00,13401,"Corresponde al sector delimitado por los limites comunales y al interior en Av. Colon, Av. Balmaceda y Autopista Central. Se extiende alcance de cuarentena a la linea comprendida entre Camino el Mariscal y Avenida San Jose",16326216.8320313,24929.1457196278
6,Chillán,Histórica,Área Urbana Completa,2020-03-30 21:00:00,2020-04-23 22:00:00,16101,Aplica solo hasta el límite urbano de la ciudad,37835429.3652344,49337.0245698048
7,Osorno,Histórica,Área Urbana Completa,2020-03-30 21:00:00,2020-04-30 22:00:00,10301,Aplica solo hasta el límite urbano de la ciudad,42268789.140625,59804.1628428391
8,Punta Arenas,Histórica,Área Urbana Completa,2020-04-01 21:00:00,2020-05-07 22:00:00,12101,Aplica a la zona urbana de la ciudad de Punta Arenas,112704517.082031,77228.2048966254
9,Nueva Imperial,Histórica,Área Urbana Completa,2020-04-09 22:00:00,2020-04-16 00:00:00,9111,Aplica solo hasta el límite urbano de la ciudad,5981050.97265625,16614.8223828867
10,Lo Barnechea,Histórica,Área Urbana Completa,2020-03-26 21:00:00,2020-04-13 05:00:00,13115,Aplica solo hasta el límite urbano de la ciudad,94313826.9765625,56084.0080581568
11,Vitacura,Histórica,Comuna completa,2020-03-26 21:00:00,2020-04-13 05:00:00,13132,Aplicada a la totalidad de la comuna,40092348.3808594,30500.0584721527
12,Las Condes,Histórica,Comuna completa,2020-03-26 21:00:00,2020-04-16 22:00:00,13114,Aplicada a la totalidad de la comuna,144758812.964844,60443.7678527491
13,Providencia,Histórica,Comuna completa,2020-03-26 21:00:00,2020-04-13 05:00:00,13123,Aplicada a la totalidad de la comuna,20592014.8867188,19208.8849554496
14,Ñuñoa Norte,Histórica,Sector Específico,2020-04-13 05:00:00,2020-05-07 22:00:00,13120,Corresponde a la extensión de la cuarentena en la comuna de Ñuñoa con límite en Av. Grecia,16724738.7617188,19686.6745151636
15,Hualpén,Histórica,Área Urbana Completa,2020-03-30 21:00:00,2020-04-16 22:00:00,8112,Aplica solo hasta el límite urbano de la ciudad,18355421.2773438,29232.3539224558
16,San Pedro de la Paz,Histórica,Área Urbana Completa,2020-03-30 21:00:00,2020-04-16 22:00:00,8108,Aplica solo hasta el límite urbano de la ciudad,44074427.2617188,57975.6829409948
17,Temuco,Histórica,Área Urbana Completa,2020-03-28 21:00:00,2020-04-30 22:00:00,9101,Aplica solo hasta el límite urbano de la ciudad,101423669.535156,129552.626170396
18,Santiago,Histórica,Comuna completa,2020-03-26 21:00:00,2020-04-13 05:00:00,13101,Aplicada a la totalidad de la comuna,33432633.3222656,28873.1965573873
19,Ñuñoa,Histórica,Comuna completa,2020-03-26 21:00:00,2020-04-13 05:00:00,13120,Aplicada a la totalidad de la comuna,24305861.1191406,21540.5882083678
20,Chillán viejo,Histórica,Área Urbana Completa,2020-03-30 21:00:00,2020-04-23 22:00:00,16103,Aplica solo hasta el límite urbano de la ciudad,10541904.53125,16827.6726350142
21,Padre Las Casas,Histórica,Área Urbana Completa,2020-03-27 23:00:00,2020-04-16 00:00:00,9112,Aplica solo hasta el límite urbano de la ciudad,11026951.7929688,16203.4065525269
22,Rapa Nui,Histórica,Comuna completa,2020-03-19 23:00:00,2020-04-06 05:00:00,5201,Aplicada a la totalidad de la comuna,205901011.117188,79899.0823228499
23,Independencia,Histórica,Comuna completa,2020-03-26 21:00:00,2020-04-02 21:00:00,13108,Aplicada a la totalidad de la comuna,10582914.0410156,13699.9128448973
24,Puerto Williams,Histórica,Área Urbana Completa,2020-03-22 23:00:00,2020-04-06 05:00:00,12201,Aplica solo hasta el límite urbano de la ciudad,2973458.34765625,9302.18440182724
25,Caleta Tortel,Histórica,Sector Específico,2020-03-12 21:00:00,2020-03-27 21:00:00,11303,Aplicada a la localidad de Caleta Tortel de forma preventiva por brotes de COVID-19 en Aysén,15336560.5195313,25455.5653612886
28,Independencia Sur (Re-ingreso),Histórica,Sector Específico,2020-04-23 22:00:00,2020-04-30 22:00:00,13108,"Corresponde al sector delimitado por la linea comprendida de las calles Gamero y Santos Dumont hacia el sur, se extiende a cuarentena total el 30 de abril",2460063.44140625,8284.04113571919
29,Victoria,Histórica,Área Urbana Completa,2020-04-30 22:00:00,2020-05-15 22:00:00,9211,Aplica solo hasta el límite urbano de la ciudad,9256998.9140625,36013.0185048258
30,Angol,Histórica,Área Urbana Completa,2020-04-30 22:00:00,2020-05-15 22:00:00,9201,Aplica solo hasta el límite urbano de la ciudad,16903887.625,56627.2046086798
31,San Ramon Sur,Histórica,Sector Específico,2020-04-30 22:00:00,2020-05-08 22:00:00,13131,Se aplica cuarentena en sector sur de la comuna delimitado por la Avenida Américo Vespucio. Se extiende posterior al término a una cuarentena de territorio completo,4606059.17382813,8714.79986943619
