ID,Nombre,Estado,Alcance,Fecha de Inicio,Fecha de Término,Código CUT Comuna,Detalle,Superficie en m2,Perímetro en m
4,El Bosque,Activa,Comuna completa,2020-04-16 22:00:00,,13105,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,20622713.2285156,18788.8707505944
26,Quinta Normal,Activa,Comuna completa,2020-04-23 22:00:00,,13126,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,17014139.1523438,21243.797016579
27,Pedro Aguirre Cerda,Activa,Comuna completa,2020-04-23 22:00:00,,13121,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,12625146.265625,15651.7189634514
32,Estación Central,Activa,Comuna completa,2020-04-30 22:00:00,,13106,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,20682566.4921875,22689.2274650058
33,Independencia Extensión a Total,Activa,Comuna completa,2020-04-30 22:00:00,,13108,Aplicada a la totalidad de la comuna. Extendida desde el sector sur a la comuna completa. Se incorpora a cuarentena del Gran Santiago,10582914.0429688,13699.9128448926
37,Recoleta,Activa,Comuna completa,2020-05-05 22:00:00,,13127,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,22715640.5234375,22324.0747754827
38,Cerrillos,Activa,Comuna completa,2020-05-05 22:00:00,,13102,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,24198337.6621094,25227.7694753954
40,Santiago Extensión a Total,Activa,Comuna completa,2020-05-05 22:00:00,,13101,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,33329909.4960938,29265.4336900164
41,Cerro Navia,Activa,Comuna completa,2020-05-08 22:00:00,,13103,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,15975127.9863281,19974.248542906
42,Conchalí,Activa,Comuna completa,2020-05-08 22:00:00,,13104,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,15979605.8085938,16815.7934099155
43,Lo Espejo,Activa,Comuna completa,2020-05-08 22:00:00,,13116,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,11886614.0898438,13762.0736724309
44,La Cisterna,Activa,Comuna completa,2020-05-08 22:00:00,,13109,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,14401733.5859375,15356.421889586
45,La Florida,Activa,Comuna completa,2020-05-08 22:00:00,,13110,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,102214162.755859,59430.2695012662
46,Peñalolen,Activa,Comuna completa,2020-05-08 22:00:00,,13122,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,77293355.8457031,43926.3659584545
